brand_collection_id,brand_collection_title,brand_collection_handle,pill_slot,pill_label,qualifying_product_count,qualifying_product_ids,display_eligibility,destination_priority_1_existing,destination_priority_2_filter_url,destination_recommended,new_collection_required,proposed_collection_title,proposed_collection_handle,proposed_collection_type,proposed_collection_conditions_or_membership,duplicate_check,canonical_indexability,destination_confidence,destination_blocker,validation_status,validation_evidence
444383068419,Afrobotanics,afrobotanics,1,Hair Treatments,3,8929363788035;8929362182403;8929362149635,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),candidate https://beautyontapp.com/collections/afrobotanics?filter.p.product_type=Hair+Care — FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,Afrobotanics Hair Treatments,afrobotanics-hair-treatments,manual,exact product IDs: 8929363788035;8929362182403;8929362149635 (expected count 3),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,"brand collection is MANUAL (no vendor rule), so vendor-wide assortment completeness is unverifiable from the audited dump — an automated vendor rule could pull unaudited products; manual membership is the safe exact expression",valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'afrobotanics-hair-treatments' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/afrobotanics.json; manual membership = listed IDs verbatim
444383068419,Afrobotanics,afrobotanics,2,Shampoos,2,8929362116867;8929362051331,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),candidate https://beautyontapp.com/collections/afrobotanics?filter.p.product_type=Hair+Care — FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,Afrobotanics Shampoos,afrobotanics-shampoos,manual,exact product IDs: 8929362116867;8929362051331 (expected count 2),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,"brand collection is MANUAL (no vendor rule), so vendor-wide assortment completeness is unverifiable from the audited dump — an automated vendor rule could pull unaudited products; manual membership is the safe exact expression",valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'afrobotanics-shampoos' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/afrobotanics.json; manual membership = listed IDs verbatim
442297975043,Anasa,anasa,1,Bath Soaks,3,8929364377859;8929364410627;8929364345091,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),no uniform productType — not constructible; FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (automated (smart)),YES,Anasa Bath Soaks,anasa-bath-soaks,automated (smart),conditions (ALL): Product vendor EQUALS 'ANASA SKIN' AND Product title CONTAINS 'bath'. Expected members: 8929364377859;8929364410627;8929364345091 (count 3),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),High,,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anasa-bath-soaks' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anasa.json; automated rule verified by exact set-equality test over the complete VENDOR-ruled assortment
442297975043,Anasa,anasa,2,Body Butters,2,8929364181251;8929364148483,HIDE (0 qualifying in stock — reinstate on restock),none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),candidate https://beautyontapp.com/collections/anasa?filter.p.product_type=Body+Care — FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,Anasa Body Butters,anasa-body-butters,manual,exact product IDs: 8929364181251;8929364148483 (expected count 2),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anasa-body-butters' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anasa.json; manual membership = listed IDs verbatim
442297975043,Anasa,anasa,3,Body Oils,2,8929364246787;8929364214019,HIDE (0 qualifying in stock — reinstate on restock),none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),candidate https://beautyontapp.com/collections/anasa?filter.p.product_type=Body+Care — FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,Anasa Body Oils,anasa-body-oils,manual,exact product IDs: 8929364246787;8929364214019 (expected count 2),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anasa-body-oils' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anasa.json; manual membership = listed IDs verbatim
442297975043,Anasa,anasa,4,Body Scrubs,2,8929379746051;8929364312323,HIDE (0 qualifying in stock — reinstate on restock),none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),candidate https://beautyontapp.com/collections/anasa?filter.p.product_type=Exfoliator — FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,Anasa Body Scrubs,anasa-body-scrubs,manual,exact product IDs: 8929379746051;8929364312323 (expected count 2),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anasa-body-scrubs' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anasa.json; manual membership = listed IDs verbatim
444217262339,ANUA,anua,1,Toners,5,8929404092675;8965612372227;8929401733379;8929399963907;8929399931139,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),no uniform productType — not constructible; FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,ANUA Toners,anua-toners,manual,exact product IDs: 8929404092675;8965612372227;8929401733379;8929399963907;8929399931139 (expected count 5),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anua-toners' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anua.json; manual membership = listed IDs verbatim
444217262339,ANUA,anua,2,Face Serums,4,8994436186371;8929404158211;8929404027139;8929404223747,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),no uniform productType — not constructible; FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,ANUA Face Serums,anua-face-serums,manual,exact product IDs: 8994436186371;8929404158211;8929404027139;8929404223747 (expected count 4),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anua-face-serums' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anua.json; manual membership = listed IDs verbatim
444217262339,ANUA,anua,3,Face Masks,4,9290311532803;9029167612163;8929404125443;8929399832835,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),no uniform productType — not constructible; FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,ANUA Face Masks,anua-face-masks,manual,exact product IDs: 9290311532803;9029167612163;8929404125443;8929399832835 (expected count 4),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anua-face-masks' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anua.json; manual membership = listed IDs verbatim
444217262339,ANUA,anua,4,Cleansers,3,9029172035843;9030706987267;8929400029443,SHOW,none — no existing brand-specific collection passes the brand+label test (all near-matches rejected; see audit/candidate_rejection_log.json),no uniform productType — not constructible; FAIL gate 7 — exact returned-ID equality cannot be verified: storefront returns HTTP 403 (Cloudflare bot protection) to all server-side fetches and theme grids run show_filters:false; Search & Discovery filter configuration unverified. Not recommended.,new_collection (manual),YES,ANUA Cleansers,anua-cleansers,manual,exact product IDs: 9029172035843;9030706987267;8929400029443 (expected count 3),"no conflict — checked against 272 live handles (collections_all_fresh.json, 2026-07-21T16:46:44Z, sha256=2c79645d961f8db5…) and all proposals",new unique handle — no canonical conflict with any live handle; page will be indexable once published; title tag / meta description NOT VERIFIED — copy not written (per no-fabrication rule),Medium,no clean vendor+type/title rule reproduces the exact set — manual membership is the only exact expression; re-derive on catalog change,valid to create (planning): handle unique in snapshot; membership exact; source brand collection published to Online Store (Admin publishedOnPublication=true),snapshot collections_all_fresh.json (2026-07-21T16:46:44Z) sha256=2c79645d961f8db519bfc62927e2d929f6d24261baa1d9ce7f0a98fd7e8e7e3d; handle 'anua-cleansers' absent from 272 live handles; member IDs drawn from Admin product records in scratchpad/brands/anua.json; manual membership = listed IDs verbatim
