scope,period,dates_inclusive,impressions,clicks,cost_zar,primary_conversions,primary_conv_value_zar,primary_basis,ga4_purchase_7514901304_conv,ga4_purchase_value_zar,google_shopping_app_purchase_7411495331_conv,gsa_purchase_value_zar,search_impression_share,budget_lost_is,rank_lost_is,avg_cpc_zar,source
ACCOUNT,L7,2026-08-30..2026-09-05,4861,1435,2857.79,51.81,46695.54,GA4 purchase only (post-switch),=primary,=primary,NOT QUERIED for 7d,,,,,1.99,customer L7 query (inline)
ACCOUNT,P7,2026-08-23..2026-08-29,4526,1578,1947.03,75.99,56179.01,GA4 purchase only,=primary,=primary,NOT QUERIED for 7d,,,,,1.23,customer P7 query
ACCOUNT,L28,2026-08-09..2026-09-05,106948,6430,9381.31,347.5,179087.97,MIXED: GA4 purchase + legacy ads_conversion_purchase on 9-10 Aug clicks (~127),220.76,177041.5,320.94,281583.02,,,,1.46,customer L28 + by-action queries
ACCOUNT,P28,2026-07-12..2026-08-08,591271,13213,20103.54,3434.44,80178.59,"POLLUTED: ads_conversion_purchase primary (3,407 of 3,434)",31.07,23920.54,450.65,357935.45,,,,1.52,customer P28 + by-action
ACCOUNT,L90,2026-06-08..2026-09-05,1603010,37400,57275.08,8802.23,355120.33,POLLUTED before ~2026-08-10,267.99,214670.98,1334.34,1098320.97,,,,1.53,customer L90 + by-action
ACCOUNT,P90,2026-03-10..2026-06-07,928480,18679,27115.67,3821.27,69478.28,POLLUTED (ads_conversion_purchase primary from w/c 2026-05-11; no primary before),10.01,6881.52,476.66,427643.82,,,,1.45,customer P90 + by-action
ACCOUNT,partial today,2026-09-06 to ~10:16Z (12:16 SAST),242,53,146.9,0,0,GA4 purchase,,,,,,,,,campaign today query; excluded from all period maths
Pastry_Brand_Search 23660059123,L7,2026-08-30..2026-09-05,3857,1333,2565.04,49.81,44871.04,GA4 purchase,=primary,=primary,,,0.826,0.024,0.15,1.92,campaign L7 query
Pastry_Brand_Search 23660059123,P7,2026-08-23..2026-08-29,3361,1426,1514.05,70.99,53820.51,GA4 purchase,=primary,=primary,,,0.809,0.149,0.043,1.06,campaign P7 query
Pastry_Brand_Search 23660059123,L28,2026-08-09..2026-09-05,13751,4820,6663.75,224.76,161470.21,MIXED (9-10 Aug legacy),"~207.3 (weekly file, click-date)",169149,745.3,644447,0.636,0.105,0.259,1.38,campaign L28 + raw/35
Pastry_Brand_Search 23660059123,P28,2026-07-12..2026-08-08,13707,4186,5572.81,1164.24,24093.83,POLLUTED,NOT SPLIT,,,,0.539,0.1,0.361,1.33,campaign P28
Pastry_Brand_Search 23660059123,L90,2026-06-08..2026-09-05,36575,12675,17301.24,2605.43,208673.1,POLLUTED before 10 Aug,207.3,169149,745.3,644447,0.55,0.16,0.29,1.36,campaign L90 + raw/35
Pastry_Brand_Search 23660059123,P90,2026-03-10..2026-06-07,5035,1714,2438.37,378.8,6762.75,POLLUTED,1.0,590,124.8,113128,0.277,0.475,0.248,1.42,campaign P90 + raw/46
Pastry | Search | Product High Intent 24142894204,L7,2026-08-30..2026-09-05,1004,102,292.75,2,1824.5,GA4 purchase,=primary,=primary,,,0.189,0.0,0.811,2.87,campaign L7
Pastry | Search | Product High Intent 24142894204,P7,2026-08-23..2026-08-29,1165,152,432.98,5,2358.5,GA4 purchase,=primary,=primary,,,0.204,0.012,0.784,2.85,campaign P7
Pastry | Search | Product High Intent 24142894204,L28 (=L90; created 2026-08-14),2026-08-09..2026-09-05,3028,358,1019.31,9,6429.75,GA4 purchase,9.0,6430,9.0,7215,0.19,0.007,0.803,2.85,campaign L28 + raw/35
Pastry_PMax 23659113115 (PAUSED 2026-08-12),L90,2026-06-08..2026-09-05,626671,11243,12736.26,3410.15,79030.27,POLLUTED,31.3,23453,305.9,236098,0.326,0.004,0.67,1.13,campaign L90 + raw/35
Pastry_PMax 23659113115,P90,2026-03-10..2026-06-07,282671,8316,7372.33,1411.08,25994.5,POLLUTED,3.0,2847,175.5,159340,0.255,0.016,0.729,0.89,campaign P90 + raw/46
Pastry_Shopping 23654472671 (PAUSED 2026-08-12),L90,2026-06-08..2026-09-05,809774,7589,12247.77,1639.06,33977.4,POLLUTED,10.0,7222,81.6,57655,0.264,0.39,0.346,1.61,campaign L90 + raw/35
Pastry_Shopping 23654472671,P90,2026-03-10..2026-06-07,617710,5832,9211.59,1551.89,28499.82,POLLUTED,5.0,3057,97.3,87066,0.126,0.715,0.159,1.58,campaign P90 + raw/46
Pastry_Shopping _Target_ROAS_Experiment 24003538946 (ENDED 2026-08-06),L90,2026-06-08..2026-09-05,87652,1126,2125.85,346.58,10140.73,POLLUTED,6.9,4520,22.1,14522,0.293,0.457,0.25,1.89,campaign L90 + raw/35
PNC_PASTRY_WAR_Search_Brand_20260803 24094997880 (PAUSED),L90,2026-06-08..2026-09-05,1260,380,1215.91,64.0,3226.29,POLLUTED,2.0,2206,15.3,11764,0.673,0.292,0.034,3.2,campaign L90 + raw/35
PNC_PASTRY_WAR_Search_Product_20260803 24105712546 (PAUSED),L90,2026-06-08..2026-09-05,5745,142,2824.44,19.0,312.11,POLLUTED,0,0,1.0,999,0.451,0.538,0.011,19.89,campaign L90 + raw/35
Search-pastryskincare 23614294762 (PAUSED),L90,2026-06-08..2026-09-05,3979,1121,3370.89,335.47,5523.13,POLLUTED,0,0,83.4,68406,0.121,0.267,0.612,3.01,campaign L90 + raw/35
PMax-pastryskincare 23603877549 (PAUSED),L90,2026-06-08..2026-09-05,24710,2111,2438.9,220.53,5291.26,POLLUTED,1.5,1689,39.1,32693,0.1,0.136,0.798,1.16,campaign L90 + raw/35
Pastry_BodyWash_Search 23660112718 (PAUSED),L90,2026-06-08..2026-09-05,1298,258,988.5,86.51,1421.05,POLLUTED,0,0,21.2,16802,0.909,0.006,0.085,3.83,campaign L90 + raw/35
Search-bodycare 23614843633 (PAUSED),L90,2026-06-08..2026-09-05,2318,397,1006.01,66.5,1095.23,POLLUTED,0,0,10.4,7719,0.1,0.004,0.897,2.53,campaign L90 + raw/35
