campaign,window,campaign_cost_zar,reportable_stv_cost_zar,coverage_pct,stv_rows,capped,partitioning,withheld_note,source
Pastry_Brand_Search,2026-06-08..2026-09-05,17301.24,16669.7,96.3,415,no,single query,R631.54 not reportable (Google-withheld),raw/32
Search-pastryskincare,2026-06-08..2026-09-05,3370.89,3178.93,94.3,212,no,single query,,raw/32
PNC_PASTRY_WAR_Search_Product_20260803,2026-06-08..2026-09-05,2824.44,2108.57,74.7,1485,no,single query,,raw/32
PNC_PASTRY_WAR_Search_Brand_20260803,2026-06-08..2026-09-05,1215.91,1039.41,85.5,98,no,single query,,raw/32
Pastry_BodyWash_Search,2026-06-08..2026-09-05,988.5,877.47,88.8,13,no,single query,,raw/32
Pastry | Search | Product High Intent | 2026-08-14,2026-06-08..2026-09-05,1019.31,779.25,76.4,305,no,single query,,raw/32
Search-bodycare,2026-06-08..2026-09-05,1006.01,717.69,71.3,270,no,single query,,raw/32
ALL SEARCH,2026-06-08..2026-09-05,27726.3,25371.03,91.5,2798,no,single query,"R2,355.27 withheld; not evidence of waste",raw/32
Pastry_Shopping,2026-06-08..2026-09-05,12247.77,10018.41,81.8,195179,no (after partitioning),"35 daily partitions (2026-06-08..07-05, 08-03..08-09) + 5 weekly (07-06..08-02, 08-10..09-05); every partition < 10,000 rows","R2,229.36 withheld","raw/stv_daily/*, raw/58-61,63; deliverables/search_terms_shopping_*.csv.gz"
Pastry_Shopping _Target_ROAS_Experiment,2026-06-08..2026-09-05,2125.85,1893.17,89.1,18993,no,5 weekly partitions,,raw/64-68
Pastry_PMax (campaign_search_term_insight),2026-06-08..2026-09-05,n/a (no cost in insight),"clicks 8,668 of 11,243 campaign clicks (77.1%)",77.1,508,no,single query,"2,952 clicks (34% of insight clicks) in blank/withheld category",raw/33
PMax-pastryskincare (campaign_search_term_insight),2026-06-08..2026-09-05,n/a,"clicks 609 of 2,111 (28.8%)",28.8,23,no,single query,216 clicks blank category,inline transcript
ALL SEARCH,2026-03-10..2026-06-07,8505.12,7154.75,84.1,3693,no,single query,,raw/41
Pastry_Shopping,2026-03-10..2026-06-07,9211.59,7764.66,84.3,10000,"YES - CAPPED, NOT EXHAUSTIVE",not partitioned (campaign paused; outside active repair scope),,raw/44
Pastry_Brand_Search,2026-08-09..2026-09-05,6663.75,6387.37,95.9,247,no,single query,,raw/40
Pastry | Search | Product High Intent | 2026-08-14,2026-08-09..2026-09-05,1019.31,779.25,76.4,305,no,single query,,raw/40
