campaign_id,name,channel,status,serving_status,primary_status,primary_status_reasons,budget_id,budget_zar_per_day,budget_status,bidding,geo_target_type,networks,shopping_or_pmax_settings,conversion_goal_config_level,geo_targets,language,tracking_template_or_suffix,source
23336839905,Performance Max-1,PERFORMANCE_MAX,REMOVED,SERVING,REMOVED,"CAMPAIGN_REMOVED,ASSET_GROUPS_PAUSED",15206243917,200,REMOVED,MAXIMIZE_CONVERSION_VALUE (no tROAS),PRESENCE_OR_INTEREST,search+partners+display (PMax),MC 5692060761; priority 0; local=true,CUSTOMER,+South Africa (2710),NOT SET (Shopping/PMax rows show no language criterion),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23449415508,PMax | Pastry Skincare | Shopping,PERFORMANCE_MAX,REMOVED,SERVING,REMOVED,CAMPAIGN_REMOVED,15292162261,400,REMOVED,MAXIMIZE_CONVERSION_VALUE tROAS 5.0,PRESENCE_OR_INTEREST,PMax,MC 5692060761; priority 0; local=true,CUSTOMER,+South Africa (2710),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23464111322,PMAX for Pastry Skincare - ZA - MCV  - 1078386 - 20260115143457,PERFORMANCE_MAX,REMOVED,SERVING,REMOVED,"CAMPAIGN_REMOVED,BUDGET_CONSTRAINED",15299109319,200,REMOVED,MAXIMIZE_CONVERSION_VALUE tROAS 3.6,PRESENCE_OR_INTEREST,PMax,MC 5692060761; feed_label ZAR_29152772337; priority 0; local=true,CUSTOMER,+South Africa (2710),NOT SET (Shopping/PMax rows show no language criterion),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23603877549,PMax-pastryskincare,PERFORMANCE_MAX,PAUSED,SERVING,PAUSED,"CAMPAIGN_PAUSED,HAS_ASSET_GROUPS_LIMITED_BY_POLICY,UNKNOWN",15395524490,100,ENABLED,MAXIMIZE_CONVERSION_VALUE (no tROAS),PRESENCE,PMax,MC 5692060761; priority 0; local=true,CAMPAIGN (PURCHASE~WEBSITE only biddable),+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23609842490,Search-bodywash,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15400555128,60,ENABLED,MAXIMIZE_CONVERSIONS tCPA R11.00,PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23610393524,Search-ingredients,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15396254522,50,ENABLED,MAXIMIZE_CONVERSIONS tCPA R11.00,PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23610427184,Search-competitor,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15405970069,40,ENABLED,MAXIMIZE_CONVERSIONS tCPA R11.00,PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23614294762,Search-pastryskincare,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15400418784,150,ENABLED,MAXIMIZE_CONVERSION_VALUE (no tROAS),PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23614525870,Search-brightening,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15405586018,60,ENABLED,MAXIMIZE_CONVERSIONS tCPA R11.00,PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23614710682,Search-bodyacne,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15400738698,50,ENABLED,MAXIMIZE_CONVERSIONS tCPA R11.00,PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23614843633,Search-bodycare,SEARCH,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15400835892,150,ENABLED,MAXIMIZE_CONVERSIONS tCPA R11.00,PRESENCE,Google Search only,-,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23654472671,Pastry_Shopping,SHOPPING,PAUSED,SERVING,PAUSED,CAMPAIGN_PAUSED,15436937488,200,ENABLED (shared by 2 campaigns),MANUAL_CPC (eCPC off); ad group bid R2.00,PRESENCE,Google Search only,MC 5692060761; priority 0; local=false,CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),NOT SET (Shopping/PMax rows show no language criterion),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23659113115,Pastry_PMax,PERFORMANCE_MAX,PAUSED,SERVING,PAUSED,"CAMPAIGN_PAUSED,HAS_ASSET_GROUPS_LIMITED_BY_POLICY",15431906058,200,ENABLED,MAXIMIZE_CONVERSION_VALUE (no tROAS),PRESENCE,PMax,MC 5692060761; priority 0; local=true; brand_list exclusion sharedSets/12005492433 (BeautyOnTApp Brands),CAMPAIGN,+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
23660059123,Pastry_Brand_Search,SEARCH,ENABLED,SERVING,LIMITED,UNKNOWN,15437657173,400,ENABLED,MAXIMIZE_CONVERSIONS (no tCPA),PRESENCE,Google Search only,-,CAMPAIGN (PURCHASE~WEBSITE only biddable),+South Africa (2710); -China (2156) -Hong Kong (2344) -Singapore (2702),English (1000),none set (campaign level),"search_search resource=campaign (6 field-partitioned queries) + campaign_budget + experiment, captured 2026-09-06 10:18-10:27 UTC (inline transcript)"
