id,name,type,category,origin,status,include_in_conversions_metric,primary_for_goal,counting,attribution,click_lookback_days,view_lookback_days,default_value,always_use_default_value,ga4_property,last_conversion_date,last_request,lifetime_all_conversions,lifetime_all_conversions_value,source
7411495331,Google Shopping App Purchase,WEBPAGE,PURCHASE,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-09-05,2026-09-06 10:02:00,2158,1800052.48,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7411495334,Google Shopping App Begin Checkout,WEBPAGE,BEGIN_CHECKOUT,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-09-06,2026-09-06 11:41:09,7418,5096360.62,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7411495337,Google Shopping App Add To Cart,WEBPAGE,ADD_TO_CART,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-09-06,2026-09-06 11:44:10,22435.1,9445713.75,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7411495340,Google Shopping App Page View,WEBPAGE,PAGE_VIEW,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-03-16,2026-04-05 17:11:27,33172,31524.0,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7411495343,Google Shopping App View Item,WEBPAGE,PAGE_VIEW,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-09-06,2026-09-06 12:03:08,90737.85,35578803.22,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7411495346,Google Shopping App Search,WEBPAGE,PAGE_VIEW,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-02-25,2026-02-25 20:43:53,446,405,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7411495349,Google Shopping App Add Payment Info,WEBPAGE,DEFAULT,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,,2026-02-25,2026-02-25 21:18:22,962,887,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7412046457,pastry skincare (web) purchase,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,1,False,515709774 (pastry skincare) event=purchase,2026-02-19,NOT IN SOURCE (epoch placeholder),156,141819.75,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7453310793,pastry skincare (web) ads_conversion_purchase,GOOGLE_ANALYTICS_4_CUSTOM,PURCHASE,WEBSITE,ENABLED,False,False,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,1,1,False,515709774 (pastry skincare) event=ads_conversion_purchase,2026-08-10,NOT IN SOURCE (epoch placeholder),15539,254424.05,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
7499051191,Local actions - Directions,GOOGLE_HOSTED,GET_DIRECTIONS,GOOGLE_HOSTED,ENABLED,False,True,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,7,1,True,,2026-09-05,NOT IN SOURCE,353,353,search_search resource=conversion_action captured 2026-09-06 ~10:18 UTC (inline transcript) + conversion_action metrics (no date) ~10:24 UTC
