campaign,ad_group,criterion_id,keyword,match_type,impressions,clicks,cost_zar,conversions,conversions_value,search_impression_share,search_rank_lost_is,search_top_is,avg_cpc_zar,source
Pastry_Brand_Search,Ad group 1,1708694076447,pastry skincare,EXACT,8096,3329,5047.032734,186.474,131566.48,0.9073637702503682,0.032989690721649485,0.8545989698307579,1.52,raw/47_keyword_view_28d_enabled.json
Pastry_Brand_Search,Ad group 1,1893916735822,pastry body wash,EXACT,894,336,484.828689,9.812,6649.97,0.91796875,0.049479166666666664,0.8163001293661061,1.44,raw/47_keyword_view_28d_enabled.json
Pastry_Brand_Search,Ad group 1,1461729058522,pastry hand cream,EXACT,1147,287,226.324702,11,11254.29,0.7907771135781383,0.1349274124679761,0.6711979609175871,0.79,raw/47_keyword_view_28d_enabled.json
Pastry | Search | Product High Intent | 2026-08-14,Product | Glycolic Body Wash,343284453804,glycolic body wash,PHRASE,328,57,157.82,0,0,0.3606299212598425,0.6299212598425197,0.2251968503937008,2.77,raw/47_keyword_view_28d_enabled.json
Pastry | Search | Product High Intent | 2026-08-14,Product | Niacinamide Body Lotion,361236689016,niacinamide body lotion,PHRASE,242,54,152.343494,4,2785.25,0.1833839918946302,0.8125633232016211,0.0999,2.82,raw/47_keyword_view_28d_enabled.json
Pastry_Brand_Search,Ad group 1,664539845701,pastry skin,EXACT,313,124,149.666118,4.985,4622.68,0.8810408921933085,0.07806691449814127,0.8074074074074075,1.21,raw/47_keyword_view_28d_enabled.json
Pastry | Search | Product High Intent | 2026-08-14,Product | Anti-Pigment Hand Cream,2335665911035,anti pigment hand cream,PHRASE,191,53,146.43,2,550,0.6,0.39487179487179486,0.5076923076923077,2.76,raw/47_keyword_view_28d_enabled.json
Pastry | Search | Product High Intent | 2026-08-14,Product | Salicylic Body Wash,343281213724,salicylic acid body wash,PHRASE,289,43,123.734968,0,0,0.1687211093990755,0.8212634822804314,0.0999,2.88,raw/47_keyword_view_28d_enabled.json
Pastry_Brand_Search,Ad group 1,1673984016675,pastry skin care,BROAD,408,85,116.944596,2,640,0.0999,0.7162846803377564,0.0999,1.38,raw/47_keyword_view_28d_enabled.json
Pastry | Search | Product High Intent | 2026-08-14,Product | Mandelic Body Wash,314974608391,mandelic acid body wash,EXACT,275,40,116.57,0,0,0.75390625,0.24609375,0.47265625,2.91,raw/47_keyword_view_28d_enabled.json
Pastry_Brand_Search,Ad group 1,2382778613257,pastry skin,PHRASE,628,139,116.088391,1.991,1291.3,0.6419919246298789,0.2449528936742934,0.5255376344086021,0.84,raw/47_keyword_view_28d_enabled.json
