campaign_id,category_label,impressions,clicks,conversions_primary_mixed,conversions_value_primary_mixed,source
23659113115,(withheld/blank),302694,2952,884.628,22965.34,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry skincare,66521,1531,689.572,17463.53,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry,19396,777,306.156,7698.37,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,glycolic acid body wash,11331,417,224.507,4709.81,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry body wash,8848,241,84.481,2906.93,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,salicylic acid body wash,6854,230,216.061,4138.7,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry hand cream,3798,175,21.202,348.21,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry lotion,2246,76,10,164.0,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry niacinamide body lotion,1606,69,9.391,155.94,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,the ordinary glycolic acid,6821,60,17.5,288.26,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,la roche posay,6635,49,12,196.62,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry skincare clicks,4242,46,8.75,144.9,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,the ordinary,5638,36,21.059,345.95,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,niacinamide body lotion,1085,35,4.295,70.43,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry products,1909,34,11.116,183.85,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pantry lotion,792,34,23.918,712.47,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry skincare shop,1267,32,19.003,309.75,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,retinol body lotion,1953,32,16,266.74,raw/33_csti_pastry_pmax_90d.json (508 rows)
23659113115,pastry skincare shop near me,2390,32,2.67,43.43,raw/33_csti_pastry_pmax_90d.json (508 rows)
