campaign_id,campaign,ad_group,search_term,conversion_action,all_conversions,all_conversions_value,source
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare,Google Shopping App Purchase,618.949,545470.03,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare,Pastry Skincare (web) purchase,168.7491,137769.0,raw/53_stv_purchase_actions_90d.json (166 rows)
23614294762,Search-pastryskincare,Ad group 1,pastry,Google Shopping App Purchase,75.7582,59177.53,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body wash,Google Shopping App Purchase,23.5526,17742.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23660112718,Pastry_BodyWash_Search,Ad group 1,pastry body wash,Google Shopping App Purchase,18.1038,15300.51,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry hand cream,Google Shopping App Purchase,12.5786,11034.08,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,pastry skincare,Google Shopping App Purchase,12.3674,8381.26,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin care,Google Shopping App Purchase,10.7484,10432.53,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body wash,Pastry Skincare (web) purchase,9.8118,6649.97,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry lotion,Google Shopping App Purchase,7,5902.5,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin,Google Shopping App Purchase,6.0454,3809.61,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,pastry skincare,Google Shopping App Purchase,6.0408,3986.19,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry hand cream,Pastry Skincare (web) purchase,6,7103.5,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,pastry skincare,Google Shopping App Purchase,5.043,3805.33,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin care,Pastry Skincare (web) purchase,5,3104,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,pastry,Google Shopping App Purchase,5,4960.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23614294762,Search-pastryskincare,Ad group 1,pastry skincare,Google Shopping App Purchase,4.9856,6964.13,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pantry skincare,Google Shopping App Purchase,4.1347,2101.6,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry products,Google Shopping App Purchase,4.0272,6163.04,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry online shop,Google Shopping App Purchase,3.9229,3998.71,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,pastry skincare,Pastry Skincare (web) purchase,3.8894,2683.3,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,pastry,Google Shopping App Purchase,2.9582,2622.37,raw/53_stv_purchase_actions_90d.json (166 rows)
23614843633,Search-bodycare,Ad group 1,pastry skin,Google Shopping App Purchase,2.5596,1941.38,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,pastry hand cream,Google Shopping App Purchase,2.1894,1176.8,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin products,Google Shopping App Purchase,2.0088,1091.21,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,body wash,Pastry Skincare (web) purchase,2,1055,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,pastry skincare,Pastry Skincare (web) purchase,2,1519,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,retinol hand cream,Google Shopping App Purchase,2,1883.0,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body lotion,Google Shopping App Purchase,2,1127.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin,Pastry Skincare (web) purchase,2,1621.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare clicks,Google Shopping App Purchase,2,1399,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pasty skin,Google Shopping App Purchase,2,2310,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pasty skincare,Google Shopping App Purchase,2,1016.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Anti-Pigment Hand Cream,pastry anti pigment hand cream,Google Shopping App Purchase,2,670,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Anti-Pigment Hand Cream,pastry anti pigment hand cream,Pastry Skincare (web) purchase,2,550,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Niacinamide Body Lotion,pastry niacinamide body lotion,Google Shopping App Purchase,2,1175.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Niacinamide Body Lotion,pastry niacinamide body lotion,Pastry Skincare (web) purchase,2,966.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Niacinamide Body Lotion,pastry niacinamide lotion,Pastry Skincare (web) purchase,2,1818.5,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry hand lotion,Google Shopping App Purchase,1.9229,972.94,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry anti pigment hand cream,Google Shopping App Purchase,1.8537,828.72,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,glycolic acid body wash,Google Shopping App Purchase,1.5988,1325.76,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry cosmetics,Google Shopping App Purchase,1.5,1860.0,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,salicylic acid body wash,Google Shopping App Purchase,1.0771,863.4,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,salicylic acid body wash,Google Shopping App Purchase,1.0216,338.23,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,pastry skincare store near me,Google Shopping App Purchase,1.0196,481.44,raw/53_stv_purchase_actions_90d.json (166 rows)
23660112718,Pastry_BodyWash_Search,Ad group 1,pastry skincare body wash,Google Shopping App Purchase,1,622.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23614843633,Search-bodycare,Ad group 1,pastry niacinamide body lotion,Google Shopping App Purchase,1,881.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23614843633,Search-bodycare,Ad group 1,pastry products,Google Shopping App Purchase,1,1745,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,best hand cream,Google Shopping App Purchase,1,434,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,best hand cream,Pastry Skincare (web) purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,glycolic acid,Google Shopping App Purchase,1,631.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,glycolic acid body wash,Google Shopping App Purchase,1,335,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,hyperpigmentation treatment for body,Google Shopping App Purchase,1,385,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,mandelic acid body wash,Google Shopping App Purchase,1,836.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,neutrogena rainbath,Google Shopping App Purchase,1,1007.25,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,niacinamide lotion,Google Shopping App Purchase,1,345.0,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,pastry overnight body balm,Pastry Skincare (web) purchase,1,670,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,pastry skincare salicylic acid body wash,Google Shopping App Purchase,1,335,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,where to buy pastry skincare,Google Shopping App Purchase,1,385,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,4 butylresorcinol serum,Google Shopping App Purchase,1,550,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,anti viral soap,Google Shopping App Purchase,1,999,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,best anti aging body cream,Google Shopping App Purchase,1,720,raw/53_stv_purchase_actions_90d.json (166 rows)
