campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions,conversions_value,all_conversions,source
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare,ADDED,pastry skincare,EXACT,EXACT,8054,3324,5029.717074,182.4737,131501.9,8476.6836,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body wash,ADDED,pastry body wash,EXACT,EXACT,753,294,443.11927,9.8118,6649.97,643.0025,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry hand cream,ADDED,pastry hand cream,EXACT,EXACT,938,238,180.828539,6,7103.5,431.4708,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968133406,Product | Mandelic Body Wash,mandelic acid body wash,ADDED,mandelic acid body wash,EXACT,EXACT,253,38,110.6,0,0,57.5,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968132966,Product | Glycolic Body Wash,glycolic acid body wash,ADDED,glycolic acid body wash,EXACT,EXACT,523,37,107.17,1,622.25,122.5,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968132526,Product | Anti-Pigment Hand Cream,pastry anti pigment hand cream,NONE,anti pigment hand cream,PHRASE,PHRASE,103,35,95.95,2,550,56.6934,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968133486,Product | Niacinamide Body Lotion,pastry niacinamide body lotion,NONE,niacinamide body lotion,PHRASE,PHRASE,75,33,94.413494,2,966.75,81,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin,ADDED,pastry skin,EXACT,EXACT,119,49,73.690263,1,999,143.2042,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body lotion,ADDED,pastry body lotion,EXACT,EXACT,186,70,67.158207,0,0,89.9633,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968132966,Product | Glycolic Body Wash,pastry glycolic acid body wash,NONE,glycolic body wash,PHRASE,PHRASE,87,22,63.92,0,0,50.987,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin care,ADDED,pastry skin care,EXACT,EXACT,141,68,62.815405,4,2759,211.0927,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
