campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions_primary_mixed,conversions_value_primary_mixed,all_conversions,source
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare,ADDED,pastry skincare,EXACT,EXACT,22580,9445,13673.719394,2181.452,170943.17,26128.9993,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614294762,Search-pastryskincare,193410155229,Ad group 1,pastry,ADDED,pastry,BROAD,EXACT,2824,891,2549.247172,282.3937,4649.3,2418.9777,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660112718,Pastry_BodyWash_Search,194151132373,Ad group 1,pastry body wash,ADDED,pastry body wash,EXACT,EXACT,829,206,796.143405,75.0173,1231.92,587.851,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body wash,ADDED,pastry body wash,EXACT,EXACT,1685,527,791.185764,95.8118,8069.67,1247.1194,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614294762,Search-pastryskincare,193410155229,Ad group 1,pastry skincare,ADDED,pastry skincare,PHRASE,EXACT,298,122,395.69257,34.0415,560.63,319.7092,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,198582692869,Pastry Skincare,pastry skincare,ADDED,pastry skincare,EXACT,EXACT,359,136,375.489836,36,1397.87,325.2395,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry hand cream,ADDED,pastry hand cream,EXACT,EXACT,1995,434,352.143113,57.0,7942.28,826.2201,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin care,ADDED,pastry skin care,EXACT,EXACT,355,153,185.507913,33.3333,3571.09,476.1573,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,198582692869,Pastry Skincare,pastry,NONE,the pastry,PHRASE,NEAR_PHRASE,195,76,180.707974,13,1581.25,173.9423,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,pastry skin,NONE,body cream,BROAD,BROAD,149,60,177.319849,11,180.51,138.5425,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693509,Glycolic Body Wash,glycolic acid body wash,ADDED,glycolic acid body wash,EXACT,EXACT,102,9,169.882813,9,147.45,37.6776,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry products,ADDED,pastry products,EXACT,EXACT,554,155,154.151623,21,1254.32,331.3125,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,198582693069,Pastry Hand Cream,pastry hand cream,ADDED,pastry hand cream,EXACT,EXACT,111,32,141.89,4,65.75,60,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body lotion,ADDED,pastry body lotion,EXACT,EXACT,501,132,118.122521,6,98.86,195.3521,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968133406,Product | Mandelic Body Wash,mandelic acid body wash,ADDED,mandelic acid body wash,EXACT,EXACT,253,38,110.6,0,0,57.5,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
