keyword,za_monthly_volume,cpc_usd,competition,results,intent_code,keyword_difficulty,source
glycolic acid body wash,720,0.28,1,188,1,17,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
salicylic acid body wash,1000,0.38,1,188,1,17,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
lactic acid body wash,40,0.18,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
niacinamide body lotion,320,0.29,1,71,1,13,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
hyaluronic acid body lotion,90,0.54,1,116,1,9,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
vitamin c body cream,20,0.3,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
body wash for hyperpigmentation,20,0.41,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
exfoliating body wash,210,0.28,1,183,1,20,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
brightening body oil,70,0.31,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
hyaluronic acid hand cream,30,0.39,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
pastry skincare,1900,0.48,1,0,2,34,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
pastry body wash,320,0.62,0.99,190,1,27,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
body wash for keratosis pilaris,30,0,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
dark knuckles cream,110,0,1,119,1,26,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
deodorant for dark underarms,20,0.39,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
body lotion for hyperpigmentation,30,0.87,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
niacinamide sunscreen,50,0.32,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
glycolic body wash,140,0.62,1,178,1,14,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
body acne wash,210,0.32,1,130,1,18,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
back acne body wash,20,0,1,0,,0,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
hand cream with spf,210,0.28,1,180,1,15,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
niacinamide serum,6600,0.34,1,20,1,16,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
ceramide serum,320,0.35,1,187,1,8,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
hyperpigmentation serum,390,0.37,1,127,"1,0",15,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
dark spot corrector,1600,0.28,1,131,"1,0",18,Semrush phrase_these database=za captured 2026-09-06 ~10:29 UTC; 25 of 50 requested keywords returned (others: no data in Semrush ZA db)
