build_id,campaign,ad_group,keyword,match_type,max_cpc_zar,final_url,product,feed_price_zar,feed_evidence,demand_evidence,live_bid_evidence,serving_evidence,rationale,url_source,live_page_check
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,glycolic acid body wash,EXACT,4.50,https://pastryskincare.co.za/products/glycolic-acid-body-wash,Glycolic Acid Body Wash,R330,"shopify_ZZ_9322850550001_* (4 variants IN_STOCK, R330-R340)","Semrush ZA 720/mo, CPC $0.28, KD 17","first-page est R4.08, top R5.12, QS 8","28d: 571 impr, 37 clicks, R107.17, 1 GA4 purchases R622.25",proven: 1 purchase 28d + Shopping purchases; bid to first-page est,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,glycolic acid body wash,PHRASE,4.50,https://pastryskincare.co.za/products/glycolic-acid-body-wash,Glycolic Acid Body Wash,R330,"shopify_ZZ_9322850550001_* (4 variants IN_STOCK, R330-R340)","Semrush ZA 720/mo, CPC $0.28, KD 17","first-page est R7.56, top R20.46, QS 8","28d: 1 impr, 0 clicks, R0.00, 0 GA4 purchases R0.00",catches long-tail; brand negatives keep pastry queries out,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,glycolic body wash,EXACT,4.50,https://pastryskincare.co.za/products/glycolic-acid-body-wash,Glycolic Acid Body Wash,R330,"shopify_ZZ_9322850550001_* (4 variants IN_STOCK, R330-R340)","Semrush ZA 140/mo, CPC $0.62, KD 14","first-page est R4.08, top R5.69, QS 8","28d: 127 impr, 14 clicks, R40.81, 0 GA4 purchases R0.00",,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,glycolic acid body cleanser,EXACT,4.00,https://pastryskincare.co.za/products/glycolic-acid-body-wash,Glycolic Acid Body Wash,R330,"shopify_ZZ_9322850550001_* (4 variants IN_STOCK, R330-R340)",no Semrush ZA row,"first-page est R6.47, top R9.09, QS -","28d: 8 impr, 2 clicks, R5.99, 0 GA4 purchases R0.00","phrase variant produced 1 purchase R1,202 in 28d",verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,glycolic acid shower gel,EXACT,4.00,https://pastryskincare.co.za/products/glycolic-acid-body-wash,Glycolic Acid Body Wash,R330,"shopify_ZZ_9322850550001_* (4 variants IN_STOCK, R330-R340)",no Semrush ZA row,"first-page est R3.72, top R6.47, QS 7","28d: 12 impr, 0 clicks, R0.00, 0 GA4 purchases R0.00",,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,aha body wash,EXACT,3.50,https://pastryskincare.co.za/products/glycolic-acid-body-wash,Glycolic Acid Body Wash,R330,"shopify_ZZ_9322850550001_* (4 variants IN_STOCK, R330-R340)",no Semrush ZA row,no live bid estimate (keyword not in account),no 28d serving history,test; no ZA volume row,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Salicylic Acid Body Wash,salicylic acid body wash,EXACT,5.00,https://pastryskincare.co.za/products/salicylic-acid-body-wash,Salicylic Acid Body Wash,R330,"shopify_ZZ_8772643487985_* (6 variants IN_STOCK, R330-R340)","Semrush ZA 1000/mo, CPC $0.38, KD 17","first-page est R6.47, top R7.56, QS 7","28d: 428 impr, 15 clicks, R43.48, 0 GA4 purchases R0.00","highest-volume product term; 0 purchases in 28d at R3 bid with 26% IS, so step to R5.00 not the R6.47 estimate; stop rule applies",verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Salicylic Acid Body Wash,salicylic acid body wash,PHRASE,4.50,https://pastryskincare.co.za/products/salicylic-acid-body-wash,Salicylic Acid Body Wash,R330,"shopify_ZZ_8772643487985_* (6 variants IN_STOCK, R330-R340)","Semrush ZA 1000/mo, CPC $0.38, KD 17","first-page est R11.35, top R14.86, QS 7","28d: 289 impr, 43 clicks, R123.73, 0 GA4 purchases R0.00",,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Salicylic Acid Body Wash,salicylic body wash,EXACT,4.50,https://pastryskincare.co.za/products/salicylic-acid-body-wash,Salicylic Acid Body Wash,R330,"shopify_ZZ_8772643487985_* (6 variants IN_STOCK, R330-R340)",no Semrush ZA row,no live bid estimate (keyword not in account),no 28d serving history,,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Salicylic Acid Body Wash,body acne wash,EXACT,4.00,https://pastryskincare.co.za/products/salicylic-acid-body-wash,Salicylic Acid Body Wash,R330,"shopify_ZZ_8772643487985_* (6 variants IN_STOCK, R330-R340)","Semrush ZA 210/mo, CPC $0.32, KD 18",no live bid estimate (keyword not in account),no 28d serving history,Shopping history: body acne wash clicks,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
C1,Pastry | Search | Body Wash | ZA | 2026-09,Salicylic Acid Body Wash,acne body wash,EXACT,4.00,https://pastryskincare.co.za/products/salicylic-acid-body-wash,Salicylic Acid Body Wash,R330,"shopify_ZZ_8772643487985_* (6 variants IN_STOCK, R330-R340)","Semrush ZA 210/mo, CPC $0.32, KD 18",no live bid estimate (keyword not in account),no 28d serving history,,verified in account (existing keyword/ad final URL),NOT VERIFIED (egress blocked in session)
