build_id,campaign,ad_group,ad_type,final_url,path1,path2,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,headline_9,headline_10,headline_11,headline_12,headline_13,headline_14,headline_15,description_1,description_2,description_3,description_4,pinning,claims_basis
C1,Pastry | Search | Body Wash | ZA | 2026-09,Glycolic Acid Body Wash,Responsive search ad,https://pastryskincare.co.za/products/glycolic-acid-body-wash,glycolic,body-wash,Glycolic Acid Body Wash,Shop Glycolic Acid Body Wash,SLS-Free Glycolic Body Wash,Glycolic Body Wash From R330,For Dark Marks & Uneven Tone,"Smoother, Brighter-Looking",Exfoliating Body Wash 500ml,Pastry Glycolic Acid Wash,Pair With Niacinamide Lotion,Fragrance-Free Option,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"SLS-free glycolic acid body wash for uneven-looking, dark-mark-prone skin. 500ml, R330.","Gentle daily exfoliation for smoother, brighter-looking skin. Fragrance-free option.",Pair with Niacinamide Body Lotion for the full even-tone routine. Shop online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C1,Pastry | Search | Body Wash | ZA | 2026-09,Salicylic Acid Body Wash,Responsive search ad,https://pastryskincare.co.za/products/salicylic-acid-body-wash,salicylic,body-wash,Salicylic Acid Body Wash,Shop Salicylic Acid Body Wash,SLS-Free Salicylic Body Wash,Salicylic Body Wash From R330,For Body Acne & Rough Bumps,"For Bumpy, Textured Skin",Body Acne Body Wash 500ml,Pastry Salicylic Wash,Fragrance-Free Option,Pair With Niacinamide Lotion,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"SLS-free salicylic acid body wash for body acne, bumps and textured skin. 500ml from R330.",Helps keep pores clear and skin smoother-looking with daily use. Fragrance-free option.,Complete the routine with Niacinamide Body Lotion. Shop Pastry Skincare online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C1,Pastry | Search | Body Wash | ZA | 2026-09,Lactic Acid Body Wash,Responsive search ad,https://pastryskincare.co.za/products/lactic-acid-body-wash,lactic,body-wash,Lactic Acid Body Wash,Shop Lactic Acid Body Wash,Gentle Lactic Body Wash,Lactic Body Wash R310,"For Sensitive, Dry Body Skin",Gentle Daily Exfoliation,SLS-Free & Fragrance-Free,Pastry Lactic Acid Wash,"Softer, Smoother-Looking Skin",500ml Pump Bottle,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Gentle lactic acid body wash for sensitive, dry or rough-feeling skin. SLS-free. R310.",Mild daily exfoliation that leaves skin softer and smoother-looking. 500ml pump bottle.,Shop Lactic Acid Body Wash online at Pastry Skincare. Made in South Africa.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C1,Pastry | Search | Body Wash | ZA | 2026-09,Mandelic Acid Body Wash,Responsive search ad,https://pastryskincare.co.za/products/mandelic-acid-body-wash,mandelic,body-wash,Mandelic Acid Body Wash,Shop Mandelic Acid Body Wash,"Mandelic, Kojic & Licorice",For Dark-Mark-Prone Skin,SLS-Free Body Wash,Gentle AHA For Dark Marks,Pastry Mandelic Body Wash,Fragrance-Free 500ml,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"SLS-free body wash with mandelic acid, kojic acid and licorice root. Fragrance-free.","A gentler AHA for dark-mark-prone, uneven-looking body skin. Shop Pastry Skincare online.",Made in South Africa for melanin-rich skin. Fragrance-free formula.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C1,Pastry | Search | Body Wash | ZA | 2026-09,Brightening Body Wash (concern),Responsive search ad,https://pastryskincare.co.za/products/glycolic-acid-body-wash,brightening,body-wash,Body Wash For Dark Marks,Brightening Body Wash,Glycolic Acid Body Wash,SLS-Free Exfoliating Wash,For Uneven-Looking Body Skin,"Inner Thighs, Knees & Elbows","Smoother, Brighter-Looking",Body Wash From R330,No Bleaching. No Burning.,Pastry Skincare Body Care,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Glycolic acid body wash for dark marks and uneven tone on inner thighs, knees and elbows.","No bleaching, no burning. SLS-free exfoliating body wash for melanin-rich skin. From R330.",Pair with Niacinamide Body Lotion for the full even-tone routine. Shop online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C2,Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,Niacinamide Body Lotion,Responsive search ad,https://pastryskincare.co.za/products/niacinamide-body-lotion,niacinamide,body-lotion,Niacinamide Body Lotion,Shop Niacinamide Body Lotion,Niacinamide & Panthenol Lotion,Body Lotion From R325,For Dark Marks & Uneven Tone,Pastry Niacinamide Lotion,Lightweight Daily Body Lotion,Fragrance-Free Option,Pair With Glycolic Body Wash,500ml Pump Bottle,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Niacinamide and panthenol body lotion for uneven-looking, dark-mark-prone skin. R325.",Lightweight daily lotion that hydrates and supports a more even-looking tone.,Pair with Glycolic Acid Body Wash for the full routine. Shop Pastry Skincare online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C2,Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,Brightening Body Lotion (concern),Responsive search ad,https://pastryskincare.co.za/products/niacinamide-body-lotion,brightening,body-lotion,Brightening Body Lotion,Niacinamide Body Lotion,Body Lotion For Dark Marks,Even Tone Body Lotion,For Melanin-Rich Skin,"Glowing, Even-Looking Skin",No Bleaching. No Burning.,Body Lotion From R325,Fragrance-Free Option,Pastry Skincare Body Care,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,Niacinamide body lotion for dark marks and uneven-looking tone. No bleaching. From R325.,"Daily hydration that supports glowing, even-looking skin. Made for melanin-rich skin.",Shop Niacinamide Body Lotion online at Pastry Skincare. Fragrance-free option.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C2,Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,Vitamin C Body Cream,Responsive search ad,https://pastryskincare.co.za/products/vitamin-c-body-cream,vitamin-c,body-cream,Vitamin C Body Cream,Shop Vitamin C Body Cream,Vitamin C & Vitamin E Cream,Body Cream From R285,"For Dull, Uneven-Looking Skin",Rich Daily Body Cream 250ml,Mandarin Or Fragrance-Free,Pastry Vitamin C Body Cream,Brighter-Looking Body Skin,Made In South Africa,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Vitamin C and vitamin E body cream for dull, uneven-looking skin. 250ml from R285.",Rich daily body cream that hydrates and supports brighter-looking skin. Shop online.,Mandarin or fragrance-free. Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C2,Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,Niacinamide Body Butter,Responsive search ad,https://pastryskincare.co.za/products/niacinamide-body-butter,niacinamide,body-butter,Niacinamide Body Butter,Shop Niacinamide Body Butter,Rich Body Butter From R205,Deep Hydration & Even Tone,"For Dry, Uneven-Looking Skin",Pastry Niacinamide Butter,Fragrance-Free Option,250ml Body Butter,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,Rich niacinamide body butter for deep hydration and a more even-looking tone. From R205.,"For dry, rough or uneven-looking body skin. Fragrance-free or grapefruit. Shop online.",Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
C2,Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,Hyaluronic Acid Body Lotion,Responsive search ad,https://pastryskincare.co.za/products/hyaluronic-acid-body-lotion,hyaluronic,body-lotion,Hyaluronic Acid Body Lotion,Shop Hyaluronic Body Lotion,Hydrating Body Lotion R290,Hyaluronic Acid & Panthenol,"For Dry, Dehydrated Body Skin",Lightweight Daily Hydration,Fragrance-Free 500ml,Pastry Hyaluronic Lotion,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Body lotion with hyaluronic acid and panthenol for dry, dehydrated skin. 500ml, R290.",Lightweight daily hydration that leaves skin softer and smoother-feeling. Shop online.,Fragrance-free. Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.,none (let RSA optimise; review asset labels after 14 days),"Ingredient and size facts from feed titles and existing approved ad copy (ads_all_campaigns.json); prices from feed copy 2026-09-06 (live page price NOT VERIFIED); no delivery, clinical or comparative claims"
