asset_type,text,line1,line2,final_url,apply_to
Sitelink,Glycolic Acid Body Wash,SLS-free exfoliating wash,"From R330, 500ml",https://pastryskincare.co.za/products/glycolic-acid-body-wash,C1-C4 (campaign level)
Sitelink,Niacinamide Body Lotion,Niacinamide and panthenol,"From R325, 500ml",https://pastryskincare.co.za/products/niacinamide-body-lotion,C1-C4
Sitelink,Glycolic Mini Kit,Body wash + lotion + loofah,From R380,https://pastryskincare.co.za/products/pastry-skincare-glycolic-acid-niacinamide-mini-kit,C1-C4
Sitelink,Salicylic Acid Body Wash,For body acne and bumps,"From R330, 500ml",https://pastryskincare.co.za/products/salicylic-acid-body-wash,C1-C4
Sitelink,Niacinamide Serum,5% niacinamide face serum,"R250, 30ml",https://pastryskincare.co.za/products/pigmentation-correction-serum,C4 only
Callout,SLS-Free Formulas,,,,C1-C4
Callout,Fragrance-Free Options,,,,C1-C4
Callout,Made In South Africa,,,,C1-C4
Callout,For Melanin-Rich Skin,,,,C1-C4
Structured snippet,"Types: Body Wash, Body Lotion, Body Butter, Body Oil, Face Serum, Deodorant, Sunscreen",,,,C1-C4
