Campaign,Campaign Type,Campaign Status,Networks,Budget,Budget type,Bid Strategy Type,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Final URL,Final URL suffix,Ad type,Status,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Pastry | Search | Body Wash | ZA | 2026-09,Search,Paused,Google search,150,Daily,Manual CPC,en,South Africa,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative},,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,Search,Paused,Google search,120,Daily,Manual CPC,en,South Africa,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative},,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,Search,Paused,Google search,120,Daily,Manual CPC,en,South Africa,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative},,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,Search,Paused,Google search,80,Daily,Manual CPC,en,South Africa,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative},,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,4.50,glycolic acid body wash,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,4.50,glycolic acid body wash,Phrase,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,4.50,glycolic body wash,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,4.00,glycolic acid body cleanser,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,4.00,glycolic acid shower gel,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,3.50,aha body wash,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Glycolic Acid Body Wash,,,,,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,Responsive search ad,Enabled,glycolic,body-wash,Glycolic Acid Body Wash,Shop Glycolic Acid Body Wash,SLS-Free Glycolic Body Wash,Glycolic Body Wash From R330,For Dark Marks & Uneven Tone,"Smoother, Brighter-Looking",Exfoliating Body Wash 500ml,Pastry Glycolic Acid Wash,Pair With Niacinamide Lotion,Fragrance-Free Option,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"SLS-free glycolic acid body wash for uneven-looking, dark-mark-prone skin. 500ml, R330.","Gentle daily exfoliation for smoother, brighter-looking skin. Fragrance-free option.",Pair with Niacinamide Body Lotion for the full even-tone routine. Shop online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,5.00,salicylic acid body wash,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,4.50,salicylic acid body wash,Phrase,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,4.50,salicylic body wash,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,4.00,body acne wash,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
