Shared list name,Keyword,Criterion Type
Pastry | NEG | Brand routing,pastry,Negative Phrase
Pastry | NEG | Brand routing,pastry skincare,Negative Phrase
Pastry | NEG | Brand routing,pastryskincare,Negative Phrase
Pastry | NEG | Brand routing,pasty skincare,Negative Phrase
Pastry | NEG | Brand routing,pantry skincare,Negative Phrase
Pastry | NEG | Brand routing,pastry skin,Negative Phrase
Pastry | NEG | Competitor brands,dove,Negative Phrase
Pastry | NEG | Competitor brands,nivea,Negative Phrase
Pastry | NEG | Competitor brands,sanex,Negative Phrase
Pastry | NEG | Competitor brands,lux,Negative Phrase
Pastry | NEG | Competitor brands,radox,Negative Phrase
Pastry | NEG | Competitor brands,dettol,Negative Phrase
Pastry | NEG | Competitor brands,sorbet,Negative Phrase
Pastry | NEG | Competitor brands,epimax,Negative Phrase
Pastry | NEG | Competitor brands,satiskin,Negative Phrase
Pastry | NEG | Competitor brands,lifebuoy,Negative Phrase
Pastry | NEG | Competitor brands,oh so heavenly,Negative Phrase
Pastry | NEG | Competitor brands,palmers,Negative Phrase
Pastry | NEG | Competitor brands,cerave,Negative Phrase
Pastry | NEG | Competitor brands,the ordinary,Negative Phrase
Pastry | NEG | Competitor brands,standard beauty,Negative Phrase
Pastry | NEG | Competitor brands,medicube,Negative Phrase
Pastry | NEG | Competitor brands,aplb,Negative Phrase
Pastry | NEG | Competitor brands,neutrogena,Negative Phrase
Pastry | NEG | Competitor brands,eucerin,Negative Phrase
Pastry | NEG | Competitor brands,la roche posay,Negative Phrase
Pastry | NEG | Competitor brands,bio oil,Negative Phrase
Pastry | NEG | Competitor brands,vaseline,Negative Phrase
Pastry | NEG | Competitor brands,clere,Negative Phrase
Pastry | NEG | Competitor brands,portia m,Negative Phrase
Pastry | NEG | Competitor brands,good stuff,Negative Phrase
Pastry | NEG | Competitor brands,dr teals,Negative Phrase
Pastry | NEG | Competitor brands,olay,Negative Phrase
Pastry | NEG | Competitor brands,aveeno,Negative Phrase
Pastry | NEG | Competitor brands,shower to shower,Negative Phrase
Pastry | NEG | Competitor brands,kiehls,Negative Phrase
Pastry | NEG | Competitor brands,loccitane,Negative Phrase
Pastry | NEG | Competitor brands,minimalist,Negative Phrase
Pastry | NEG | Competitor brands,veerox,Negative Phrase
Pastry | NEG | Competitor brands,avon,Negative Phrase
