campaign,field,text,impr,clicks,conv,value,labels,n_ad_groups
Pastry_Brand,DESCRIPTION,"Shop Pastry Skincare - body wash, lotions & moisturisers. Proudly SA brand. Order now.",11705,4028,197.8,140267.21,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Pastry Skincare Official Store,11028,3842,194.6,137775.29,NOT_APPLICABLE,1
Pastry_Brand,DESCRIPTION,Pastry body care - SA-made skincare from R119. Nationwide delivery in 24-72 hours.,10371,3745,187.8,133921.13,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Shop Pastry Skincare Online,8845,3434,178.3,124418.28,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Shop Pastry Body Care Range,3969,1544,69.2,33687.23,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Pastry Body Wash & Lotions,3640,1353,65.6,33316.31,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Nationwide Delivery 24-72hrs,3279,1313,87.5,68744.25,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Online,1828,278,8.0,5588.0,NOT_APPLICABLE,20
Pastry_Brand,HEADLINE,Pastry Skincare Products,1800,746,26.5,20863.01,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Pastry Skincare,1768,246,3.0,2807.25,NOT_APPLICABLE,20
Pastry_Brand,DESCRIPTION,"Shop gentle cleansers, serums & body care -fragrance-free and science-backed",1704,718,27.0,21203.01,NOT_APPLICABLE,1
Pastry_Brand,DESCRIPTION,"Locally made, dermatologist.-tested skincare for sensitive & hyperpigmented skin",1250,506,17.2,14011.62,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,SLS-free glycolic acid body wash for hyperpigmentation & strawberry skin.,1063,111,2.0,1824.5,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Pastry Skincare Online,1045,158,6.0,5257.5,NOT_APPLICABLE,15
Pastry | Sea,DESCRIPTION,Shop Glycolic Acid Body Wash online at Pastry Skincare.,996,103,2.0,1824.5,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,SA-Made Skincare Products,901,318,10.7,9172.29,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Glycolic Acid Body Wash,773,88,2.0,1824.5,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Pastry Skincare Glycolic Acid,771,297,14.5,11225.76,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,SLS-free salicylic acid body wash for bumps & textured skin.,710,58,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Pastry Skincare Mini Kit,656,289,9.0,5981.64,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Salicylic Acid Body Wash online at Pastry Skincare.,646,54,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,DESCRIPTION,Glycolic Acid & Niacinamide – Pastry Skincare,625,247,8.8,5531.5,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Salicylic Acid Body Wash,625,49,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Proudly South African Brand,598,171,7.0,4926.94,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Perfect for Gifting,559,245,5.0,3853.32,NOT_APPLICABLE,1
