Keyword,Search Volume,CPC,Competition,Intent,Keyword Difficulty Index,seed_file
nivea body lotion,12100,0.21,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
oh so heavenly body lotion,5400,0.03,1,"1,2",24,phrase_fullsearch_body_lotion_a60dc1.csv
vaseline body lotion,3600,1.1,1,1,19,phrase_fullsearch_body_lotion_a60dc1.csv
body lotion,2400,0.18,1,1,13,phrase_fullsearch_body_lotion_a60dc1.csv
clere body lotion,1900,0.23,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
nivea men body lotion,1900,0.46,1,1,17,phrase_fullsearch_body_lotion_a60dc1.csv
nivea q10 body lotion,1000,0.25,1,1,17,phrase_fullsearch_body_lotion_a60dc1.csv
dove body lotion,880,0.07,1,1,24,phrase_fullsearch_body_lotion_a60dc1.csv
nivea firming body lotion,880,0.24,1,1,17,phrase_fullsearch_body_lotion_a60dc1.csv
nivea q10 firming body lotion,880,0.25,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
dawn body lotion,590,0,1,1,17,phrase_fullsearch_body_lotion_a60dc1.csv
retinol body lotion,590,0.31,1,1,30,phrase_fullsearch_body_lotion_a60dc1.csv
body lotion for dry skin,480,0.24,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
eucerin body lotion,480,0.19,1,1,17,phrase_fullsearch_body_lotion_a60dc1.csv
portia m body lotion,480,0.06,1,1,15,phrase_fullsearch_body_lotion_a60dc1.csv
brightening body lotion,390,0.3,1,1,10,phrase_fullsearch_body_lotion_a60dc1.csv
nivea body lotion dischem,390,0.02,1,"1,3",21,phrase_fullsearch_body_lotion_a60dc1.csv
nivea body lotion shoprite,390,0.1,0.89,"2,3",21,phrase_fullsearch_body_lotion_a60dc1.csv
nivea rich nourishing body lotion,390,0.25,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
oh so heavenly body lotion price,390,0,0.62,"2,3",19,phrase_fullsearch_body_lotion_a60dc1.csv
vitamin c body lotion,390,0.28,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
masculine body lotion,320,0.6,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
niacinamide body lotion,320,0.29,1,1,13,phrase_fullsearch_body_lotion_a60dc1.csv
nivea body lotion price,320,0.18,0.99,3,15,phrase_fullsearch_body_lotion_a60dc1.csv
nivea cocoa butter body lotion,320,0.36,1,1,17,phrase_fullsearch_body_lotion_a60dc1.csv
q10 firming body lotion,320,0.42,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
turmeric body lotion,320,0.17,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
vanilla body lotion,320,0.27,1,1,16,phrase_fullsearch_body_lotion_a60dc1.csv
veerox body lotion,320,0.42,0.64,1,11,phrase_fullsearch_body_lotion_a60dc1.csv
best body lotion,260,0.81,1,0,11,phrase_fullsearch_body_lotion_a60dc1.csv
body lotion for glowing skin,260,0.49,1,1,13,phrase_fullsearch_body_lotion_a60dc1.csv
nivea vitamin c body lotion,260,0.31,1,1,15,phrase_fullsearch_body_lotion_a60dc1.csv
palmers body lotion,260,0.03,1,1,20,phrase_fullsearch_body_lotion_a60dc1.csv
skin brightening body lotion,260,0.34,1,1,15,phrase_fullsearch_body_lotion_a60dc1.csv
skin lightening body lotion,260,0.29,1,1,15,phrase_fullsearch_body_lotion_a60dc1.csv
whitening body lotion,260,0.29,1,1,7,phrase_fullsearch_body_lotion_a60dc1.csv
aha body lotion,210,0.26,1,1,10,phrase_fullsearch_body_lotion_a60dc1.csv
avon body lotion,210,0.02,1,"2,3",15,phrase_fullsearch_body_lotion_a60dc1.csv
best body lotion for glowing skin,210,0.49,1,0,17,phrase_fullsearch_body_lotion_a60dc1.csv
body lotion for men,210,0.47,1,1,9,phrase_fullsearch_body_lotion_a60dc1.csv
dove body wash,3600,0.06,1,1,20,phrase_fullsearch_body_wash_315972.csv
body wash,2900,0.53,1,1,14,phrase_fullsearch_body_wash_315972.csv
oh so heavenly body wash,2900,0.16,1,1,15,phrase_fullsearch_body_wash_315972.csv
sanex body wash,1600,0.58,1,1,18,phrase_fullsearch_body_wash_315972.csv
lux body wash,1300,0.16,1,1,17,phrase_fullsearch_body_wash_315972.csv
nivea body wash,1000,0.63,1,1,20,phrase_fullsearch_body_wash_315972.csv
radox body wash,1000,0.26,1,1,15,phrase_fullsearch_body_wash_315972.csv
salicylic acid body wash,1000,0.38,1,1,17,phrase_fullsearch_body_wash_315972.csv
nivea men body wash,880,0.67,1,1,17,phrase_fullsearch_body_wash_315972.csv
glycolic acid body wash,720,0.28,1,1,17,phrase_fullsearch_body_wash_315972.csv
dettol body wash,590,1.02,1,1,17,phrase_fullsearch_body_wash_315972.csv
sorbet body wash,590,0.21,1,1,12,phrase_fullsearch_body_wash_315972.csv
epimax body wash,480,0.11,1,1,14,phrase_fullsearch_body_wash_315972.csv
good stuff body wash,480,0.03,1,1,17,phrase_fullsearch_body_wash_315972.csv
satiskin body wash,480,0.95,1,1,17,phrase_fullsearch_body_wash_315972.csv
shower to shower body wash,480,0.84,1,1,16,phrase_fullsearch_body_wash_315972.csv
antibacterial body wash,390,0.86,1,1,20,phrase_fullsearch_body_wash_315972.csv
body wash dischem,390,0.02,1,"2,3",22,phrase_fullsearch_body_wash_315972.csv
dr teal's body wash,390,0.09,0.99,1,16,phrase_fullsearch_body_wash_315972.csv
lifebuoy body wash,390,0.8,1,1,16,phrase_fullsearch_body_wash_315972.csv
benzoyl peroxide body wash,320,0.67,1,1,24,phrase_fullsearch_body_wash_315972.csv
chuckles body wash,320,0,0.37,1,15,phrase_fullsearch_body_wash_315972.csv
pastry body wash,320,0.62,0.99,1,27,phrase_fullsearch_body_wash_315972.csv
body wash for men,260,1.02,1,"1,0",13,phrase_fullsearch_body_wash_315972.csv
dischem body wash,260,0.02,1,"2,3",21,phrase_fullsearch_body_wash_315972.csv
olay body wash,260,0.11,1,1,20,phrase_fullsearch_body_wash_315972.csv
woolworths body wash,260,0.05,1,"2,3",24,phrase_fullsearch_body_wash_315972.csv
acne body wash,210,0.32,1,1,18,phrase_fullsearch_body_wash_315972.csv
aveeno body wash,210,0.11,1,1,23,phrase_fullsearch_body_wash_315972.csv
eucerin body wash,210,0.28,1,1,18,phrase_fullsearch_body_wash_315972.csv
exfoliating body wash,210,0.28,1,1,20,phrase_fullsearch_body_wash_315972.csv
turmeric body wash,210,0.21,1,,0,phrase_fullsearch_body_wash_315972.csv
best smelling body wash,170,0,0.74,0,20,phrase_fullsearch_body_wash_315972.csv
body wash for sensitive skin,170,0.73,1,"1,0",13,phrase_fullsearch_body_wash_315972.csv
body wash for women,170,1.14,1,1,15,phrase_fullsearch_body_wash_315972.csv
dove body wash dischem,170,0.02,1,"1,3",20,phrase_fullsearch_body_wash_315972.csv
dove men body wash,170,1.32,1,1,17,phrase_fullsearch_body_wash_315972.csv
antifungal body wash,140,0,1,"1,0",26,phrase_fullsearch_body_wash_315972.csv
best body wash,140,1.07,1,0,25,phrase_fullsearch_body_wash_315972.csv
body wash vitamin c,140,0.42,1,1,13,phrase_fullsearch_body_wash_315972.csv
dark underarms,260,0.4,0.98,1,26,phrase_fullsearch_dark_underarms_72aad3.csv
how to get rid of dark underarms,210,0.2,1,1,30,phrase_fullsearch_dark_underarms_72aad3.csv
dark underarms treatment,170,0.43,1,1,24,phrase_fullsearch_dark_underarms_72aad3.csv
home remedies for dark underarms,170,0.01,0.77,1,34,phrase_fullsearch_dark_underarms_72aad3.csv
how to remove dark underarms,140,0.09,0.66,1,22,phrase_fullsearch_dark_underarms_72aad3.csv
underarm dark spots,110,0,0.99,1,28,phrase_fullsearch_dark_underarms_72aad3.csv
what to use for dark underarms,110,0.29,1,1,24,phrase_fullsearch_dark_underarms_72aad3.csv
how to lighten dark underarms,90,0.21,0.98,1,33,phrase_fullsearch_dark_underarms_72aad3.csv
remove dark underarms,70,0.25,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
baking soda for dark underarms,30,0,0.23,,0,phrase_fullsearch_dark_underarms_72aad3.csv
cream for dark neck and underarms,30,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
dark underarms during pregnancy,30,0,0.14,,0,phrase_fullsearch_dark_underarms_72aad3.csv
dove roll on for dark underarms,30,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
home remedies for dark neck underarms and inner thighs,30,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
how to get rid of dark underarms in a week,30,0,0.14,,0,phrase_fullsearch_dark_underarms_72aad3.csv
how to get rid of dark underarms permanently,30,0,0.9,,0,phrase_fullsearch_dark_underarms_72aad3.csv
how to remove dark marks from underarms,30,0,0.81,,0,phrase_fullsearch_dark_underarms_72aad3.csv
which roll on is best for dark underarms,30,0.65,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
aloe vera for dark underarms,20,0,0.43,,0,phrase_fullsearch_dark_underarms_72aad3.csv
best cream for dark neck and underarms,20,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
best deodorant for dark underarms,20,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
best roll on for dark underarms,20,0.66,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
bio oil for dark underarms,20,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
chemical peel for dark underarms,20,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
coconut oil for dark underarms,20,0,0.34,,0,phrase_fullsearch_dark_underarms_72aad3.csv
colgate for dark underarms,20,0,0.33,,0,phrase_fullsearch_dark_underarms_72aad3.csv
dark underarms and neck during pregnancy,20,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
dark underarms before and after,20,0,0.33,,0,phrase_fullsearch_dark_underarms_72aad3.csv
dark underarms cream,20,0,1,,0,phrase_fullsearch_dark_underarms_72aad3.csv
dark underarms during pregnancy boy or girl,20,0,0.03,,0,phrase_fullsearch_dark_underarms_72aad3.csv
hyperpigmentation,6600,0.33,0.89,1,64,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation meaning,1300,0.21,0.04,1,67,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation treatment,1300,0.36,1,1,54,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
what is hyperpigmentation,1000,0.08,0.22,1,29,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
post inflammatory hyperpigmentation,720,0.31,0.53,1,41,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation cream,480,0.41,1,1,23,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation face,480,0.32,1,1,38,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation products,480,0.3,1,1,11,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation black skin,390,0,0.99,1,35,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation on neck,390,0,0.96,1,42,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation serum,390,0.37,1,"1,0",15,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
how to get rid of hyperpigmentation,260,0.27,1,1,53,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
best products for hyperpigmentation,210,0.43,1,1,22,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
best serum for hyperpigmentation,210,0.43,1,0,13,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
chemical peel for hyperpigmentation,210,0.37,1,1,21,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation causes,210,0,0.29,1,72,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation on lips,210,0,0.98,1,34,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
la roche posay hyperpigmentation,210,0.24,1,1,14,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
eucerin hyperpigmentation,170,0.36,1,1,20,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation acne,170,0,1,1,46,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
azelaic acid hyperpigmentation,140,0,1,1,41,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
best treatment for hyperpigmentation,140,0.44,1,0,45,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
how to treat hyperpigmentation,140,0.28,1,1,63,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation around mouth,140,0,0.99,1,15,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation face treatment,140,0.32,1,1,25,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
skin hyperpigmentation,140,0,0.68,1,57,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
what is hyperpigmentation on face,140,0,0.55,1,40,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation melasma,110,0,0.95,1,54,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation treatment for dark skin,110,0.35,0.99,1,29,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
melasma and hyperpigmentation,110,0,1,"1,0",36,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
melasma vs hyperpigmentation,110,0,0.97,0,11,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
turmeric mask for hyperpigmentation,110,0,0.18,1,28,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation treatment cream,90,0,1,1,25,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
post inflammatory hyperpigmentation treatment,90,0.33,1,1,28,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
skin hyperpigmentation treatment cream,90,0,1,1,14,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
underarm hyperpigmentation,90,0,0.97,,0,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
best sunscreen for melasma and hyperpigmentation,40,0.44,1,,0,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation laser treatment,40,0.27,1,,0,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
hyperpigmentation penis,40,0,0.02,,0,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
turmeric mask for hyperpigmentation before and after,40,0,0.33,,0,phrase_fullsearch_hyperpigmentation_6ae1fc.csv
stretch marks,3600,1.05,0.57,1,74,phrase_fullsearch_stretch_marks_591129.csv
stretch marks removal,1600,0.29,1,1,27,phrase_fullsearch_stretch_marks_591129.csv
how to get rid of stretch marks,1000,0.15,1,1,24,phrase_fullsearch_stretch_marks_591129.csv
how to remove stretch marks permanently,1000,0.25,1,1,24,phrase_fullsearch_stretch_marks_591129.csv
what causes stretch marks,1000,0,0.06,1,68,phrase_fullsearch_stretch_marks_591129.csv
stretch mark cream,720,0.96,1,1,19,phrase_fullsearch_stretch_marks_591129.csv
how to reduce stretch marks,480,0.27,0.99,1,42,phrase_fullsearch_stretch_marks_591129.csv
how to remove stretch marks,480,0.17,1,1,28,phrase_fullsearch_stretch_marks_591129.csv
types of stretch marks,480,0,0.32,1,27,phrase_fullsearch_stretch_marks_591129.csv
stretch mark removal cream,390,0.4,1,1,26,phrase_fullsearch_stretch_marks_591129.csv
how to remove stretch marks fast,320,0.36,1,1,50,phrase_fullsearch_stretch_marks_591129.csv
laser stretch mark removal,320,0.26,0.95,1,15,phrase_fullsearch_stretch_marks_591129.csv
laser treatment for stretch marks,320,0.2,0.91,1,14,phrase_fullsearch_stretch_marks_591129.csv
palmers stretch mark cream,320,0.04,1,1,16,phrase_fullsearch_stretch_marks_591129.csv
pregnancy stretch marks,320,0,0.84,1,18,phrase_fullsearch_stretch_marks_591129.csv
stretch marks treatment,320,0.23,1,1,44,phrase_fullsearch_stretch_marks_591129.csv
black stretch marks,260,0,0.36,1,57,phrase_fullsearch_stretch_marks_591129.csv
dark stretch marks,260,0,0.33,1,39,phrase_fullsearch_stretch_marks_591129.csv
pregnancy stretch mark cream,260,1.02,1,1,16,phrase_fullsearch_stretch_marks_591129.csv
stretch mark oil,260,0.45,1,1,15,phrase_fullsearch_stretch_marks_591129.csv
stretch marks on butt,260,0,0.19,1,31,phrase_fullsearch_stretch_marks_591129.csv
bio oil for stretch marks,210,0.08,0.99,1,30,phrase_fullsearch_stretch_marks_591129.csv
breast stretch marks,210,0,0.13,1,29,phrase_fullsearch_stretch_marks_591129.csv
breastfeeding stretch marks,210,0,0.13,1,17,phrase_fullsearch_stretch_marks_591129.csv
how to remove stretch marks permanently at home,210,0.1,0.96,1,40,phrase_fullsearch_stretch_marks_591129.csv
stretch mark removal,210,0.27,1,1,16,phrase_fullsearch_stretch_marks_591129.csv
what can i use to remove stretch marks,210,0.4,1,1,50,phrase_fullsearch_stretch_marks_591129.csv
best stretch mark cream,170,0.4,1,0,26,phrase_fullsearch_stretch_marks_591129.csv
deep stretch marks,170,0,0.97,1,43,phrase_fullsearch_stretch_marks_591129.csv
do stretch marks go away,170,0,0.24,1,61,phrase_fullsearch_stretch_marks_591129.csv
glycolic acid body wash,720,0.28,1,1,17,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
salicylic acid body wash,1000,0.38,1,1,17,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
lactic acid body wash,40,0.18,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
niacinamide body lotion,320,0.29,1,1,13,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
hyaluronic acid body lotion,90,0.54,1,1,9,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
vitamin c body cream,20,0.3,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
body wash for hyperpigmentation,20,0.41,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
exfoliating body wash,210,0.28,1,1,20,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
brightening body oil,70,0.31,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
hyaluronic acid hand cream,30,0.39,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
pastry skincare,1900,0.48,1,2,34,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
pastry body wash,320,0.62,0.99,1,27,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
body wash for keratosis pilaris,30,0,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
dark knuckles cream,110,0,1,1,26,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
deodorant for dark underarms,20,0.39,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
body lotion for hyperpigmentation,30,0.87,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
niacinamide sunscreen,50,0.32,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
glycolic body wash,140,0.62,1,1,14,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
body acne wash,210,0.32,1,1,18,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
back acne body wash,20,0,1,,0,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
hand cream with spf,210,0.28,1,1,15,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
niacinamide serum,6600,0.34,1,1,16,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
ceramide serum,320,0.35,1,1,8,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
hyperpigmentation serum,390,0.37,1,"1,0",15,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
dark spot corrector,1600,0.28,1,"1,0",18,phrase_these_glycolic_acid_body_wash_salicy_715d96.csv
