  2026-06-06 | Campaign status updated | Mathebe Molise | Power Editor | PASTRY_Creative_Testing | 120239424940590393 | 3 | old=Inactive new=Pending Process type=run_status
  2026-06-06 | Campaign budget updated | Mathebe Molise | Power Editor | PASTRY_Creative_Testing | 120239424940590393 | 1 | old={'type': 'payment_amount', 'currency': 'ZAR', 'old_value': 7000, 'additional_type': 'status_string', 'additional_value': new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 50000, 'additional_type': 'status_string',
  2026-06-06 | Campaign status updated | Mathebe Molise | Power Editor | PASTRY_Main_Revenue | 120239422422250393 | 1 | old=Inactive new=Active type=run_status
  2026-06-06 | Ad set targeting updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243587895130393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-06-06 | Ad set targeting updated | Mathebe Molise | Power Editor | AS2_Body_Care_Broad | 120243587895120393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-06-06 | Ad set targeting updated | Mathebe Molise | Power Editor | CT_All_Creatives | 120243915657530393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-06-06 | Ad set budget sharing updated | Mathebe Molise | Power Editor | PASTRY_Creative_Testing - Copy | 120243915657570393 | 1 | old=None new=True type=update_budget_flex_toggle_status
  2026-06-06 | Ad set bidding updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243587895130393 | 1 | old=None new=Optimize bid for actions type=bid_type
  2026-06-06 | Ad set created | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243587895130393 | 1 | old=None new=None type=composite_data
  2026-06-06 | Ad set optimization goal updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243587895130393 | 1 | old=None new=Conversions type=optimization_goal
  2026-06-06 | Ad set bidding updated | Mathebe Molise | Power Editor | AS2_Body_Care_Broad | 120243587895120393 | 1 | old=None new=Optimize bid for actions type=bid_type
  2026-06-06 | Ad set created | Mathebe Molise | Power Editor | AS2_Body_Care_Broad | 120243587895120393 | 1 | old=None new=None type=composite_data
  2026-06-06 | Ad set optimization goal updated | Mathebe Molise | Power Editor | AS2_Body_Care_Broad | 120243587895120393 | 1 | old=None new=Conversions type=optimization_goal
  2026-06-06 | Ad set budget scheduling enabled | Mathebe Molise | Power Editor | CT_All_Creatives | 120243915657530393 | 1 | old=None new=False type=update_budget_schedule_state
  2026-06-06 | Ad set bidding updated | Mathebe Molise | Power Editor | CT_All_Creatives | 120243915657530393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-06 | Ad set created | Mathebe Molise | Power Editor | CT_All_Creatives | 120243915657530393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 30000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-06 | Ad set optimization goal updated | Mathebe Molise | Power Editor | CT_All_Creatives | 120243915657530393 | 1 | old=None new=Value type=optimization_goal
  2026-06-06 | Campaign created | Mathebe Molise | Power Editor | PASTRY_Creative_Testing - Copy | 120243915657570393 | 1 | old=None new=None type=composite_data
  2026-06-06 | Ad set name updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243641897430393 | 1 | old=New Sales Ad Set new=AS1_Hyperpigmentation type=name
  2026-06-06 | Campaign budget scheduling enabled | Mathebe Molise | Power Editor | PASTRY_Main_Revenue - Copy | 120243587895050393 | 1 | old=None new=False type=update_budget_schedule_state
  2026-06-06 | Campaign created | Mathebe Molise | Power Editor | PASTRY_Main_Revenue - Copy | 120243587895050393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 100000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-08 | Campaign status updated | Mathebe Molise | Ads Manager App for iOS | PASTRY_Main_Revenue | 120239422422250393 | 1 | old=Active new=Inactive type=run_status
  2026-06-08 | Campaign status updated | Mathebe Molise | Ads Manager App for iOS | PASTRY_Creative_Testing | 120239424940590393 | 1 | old=Active new=Inactive type=run_status
  2026-06-11 | Campaign status updated | Mathebe Molise | Power Editor | PASTRY_Main_Revenue | 120239422422250393 | 2 | old=Inactive new=Pending Process type=run_status
  2026-06-11 | Campaign budget updated | Mathebe Molise | Power Editor | PASTRY_Main_Revenue | 120239422422250393 | 1 | old={'type': 'payment_amount', 'currency': 'ZAR', 'old_value': 100000, 'additional_type': 'status_string', 'additional_value new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 120000, 'additional_type': 'status_string'
  2026-06-16 | Ad set targeting updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: A power ingredient combo that... | 120245548840520393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children': ['China']}, {'content': 'Age:', 'children': ['18 - 65+']}, type=targets_spec
  2026-06-16 | Ad set bidding updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: A power ingredient combo that... | 120245548840520393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-16 | Ad set created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: A power ingredient combo that... | 120245548840520393 | 1 | old=None new=None type=composite_data
  2026-06-16 | Ad set optimization goal updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: A power ingredient combo that... | 120245548840520393 | 1 | old=None new=Instagram profile visits type=optimization_goal
  2026-06-16 | Campaign created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: A power ingredient combo that... | 120245548839430393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 19000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-16 | Ad set targeting updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: We are turning 5 this year and we. | 120245548921590393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children': ['China']}, {'content': 'Age:', 'children': ['18 - 65+']}, type=targets_spec
  2026-06-16 | Ad set bidding updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: We are turning 5 this year and we. | 120245548921590393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-16 | Ad set created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: We are turning 5 this year and we. | 120245548921590393 | 1 | old=None new=None type=composite_data
  2026-06-16 | Ad set optimization goal updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: We are turning 5 this year and we. | 120245548921590393 | 1 | old=None new=Instagram profile visits type=optimization_goal
  2026-06-16 | Campaign created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: We are turning 5 this year and we. | 120245548921010393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 19000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-16 | Campaign created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: She said it best ✨ Lightweight,... | 120245548997690393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 19000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-16 | Ad set targeting updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: She said it best ✨ Lightweight,... | 120245548998560393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children': ['China']}, {'content': 'Age:', 'children': ['18 - 65+']}, type=targets_spec
  2026-06-16 | Ad set bidding updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: She said it best ✨ Lightweight,... | 120245548998560393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-16 | Ad set created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: She said it best ✨ Lightweight,... | 120245548998560393 | 1 | old=None new=None type=composite_data
  2026-06-16 | Ad set optimization goal updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: She said it best ✨ Lightweight,... | 120245548998560393 | 1 | old=None new=Instagram profile visits type=optimization_goal
  2026-06-16 | Ad set targeting updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=[] new=[{'content': 'Custom audience:', 'children': ['All website visitors 180']}, {'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude locatio type=targets_spec
  2026-06-16 | Ad set bidding updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-16 | Ad set created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=None new=None type=composite_data
  2026-06-16 | Ad set optimization goal updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=None new=Instagram profile visits type=optimization_goal
  2026-06-16 | Campaign created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549293410393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 19000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-19 | Ad set targeting updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243641897430393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
