ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,status,effective_status,delivery,creative_id,creative_object_type,video_id,effective_object_story_id,effective_instagram_media_id,cta,conversion_domain,created_time,updated_time,spend_zar_2026_03_10_to_09_05,impressions,website_purchases,purchase_value,source
120248284964440393,W6__01__ANTI_PIGMENTATION_DEODORANT,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,1256482663222241,VIDEO,1036536699259074,116534118031737_1053776134312482,18108041942171730,SHOP_NOW,pastryskincare.co.za,2026-08-28T10:00:35+0200,2026-08-28T17:18:36+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284961720393,W5__04__UNDERARM_INGREDIENTS,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,4793039344293517,VIDEO,3132860496923753,116534118031737_1053775900979172,17914465656446696,SHOP_NOW,pastryskincare.co.za,2026-08-28T10:00:24+0200,2026-08-28T17:18:36+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284970840393,W6__05__CUSTOMER_ROUTINE_STORY,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,27134465589563159,VIDEO,1911320126512802,116534118031737_1053776544312441,18024217043691661,SHOP_NOW,pastryskincare.co.za,2026-08-28T10:00:59+0200,2026-08-28T17:18:33+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284957700393,W5__01__DRY_BRUSHING_ROUTINE,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,4657722504552164,VIDEO,2289193138563707,116534118031737_1053775640979198,18115394272764116,SHOP_NOW,pastryskincare.co.za,2026-08-28T10:00:07+0200,2026-08-28T17:18:33+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284952620393,W4__02__ROUGH_BUMP_ROUTINE,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,2128451841880866,VIDEO,4002241086579018,116534118031737_1053775440979218,18093283556539150,SHOP_NOW,pastryskincare.co.za,2026-08-28T09:59:46+0200,2026-08-28T16:53:16+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284938000393,W2__04__INNER_THIGH_COMBINATIONS,120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,ACTIVE,active:ad_set_in_learning_phase,2504456496703261,VIDEO,1765130831287915,116534118031737_1034007792955983,18168673036456579,SHOP_NOW,pastryskincare.co.za,2026-08-28T09:59:08+0200,2026-08-28T16:01:28+0200,ZAR251.55,4547,1,ZAR622.25,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284944950393,W3__04__UNDERARM_ROUTINE,120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,ACTIVE,active:ad_set_in_learning_phase,1754580525794575,VIDEO,1211001868769387,116534118031737_1034008696289226,17954894079204205,SHOP_NOW,pastryskincare.co.za,2026-08-28T09:59:28+0200,2026-08-28T16:01:19+0200,ZAR64.73,868,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284926410393,W1__03__BODY_PIGMENTATION_BY_AREA,120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,ACTIVE,active:ad_set_in_learning_phase,1048949520952779,VIDEO,1914320649954655,116534118031737_1033977042959058,18186499423401828,SHOP_NOW,pastryskincare.co.za,2026-08-28T09:58:44+0200,2026-08-28T16:00:38+0200,ZAR34.63,685,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284963040393,W5__05__BIKINI_LINE_ROUTINE,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,1649439496393735,VIDEO,1074202545192821,116534118031737_1053775994312496,17946071493057906,SHOP_NOW,pastryskincare.co.za,2026-08-28T10:00:29+0200,2026-08-28T11:38:24+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284955570393,W4__05__MINI_KIT_ROUTINE,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,warning:ad_set_learning_exit_unsuccessfully,916650614844230,VIDEO,1381662176760033,116534118031737_1053775587645870,17983114709878629,SHOP_NOW,pastryskincare.co.za,2026-08-28T10:00:01+0200,2026-08-28T11:37:30+0200,ZAR0.00 (no delivery),,,,ads_get_ad_entities level=ad + ads_get_creatives; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
