period,since,until,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,effective_status,creative_id,video_id,ig_media_id,conversion_domain,spend_zar,impressions,reach,frequency,cpm_zar,outbound_clicks,outbound_ctr_pct,cost_per_outbound_click_zar,landing_page_views,lpv_per_outbound_click,add_to_cart,atc_per_lpv,initiate_checkout,ic_per_atc,website_purchases,purchase_per_ic,purchase_per_lpv,purchase_value_zar,cpa_zar,attributed_roas,video_plays,thruplays,p25,p50,p75,p95,p100,avg_play_time_s,thruplay_per_play,p25_per_play,p100_per_play,outbound_click_per_play,saves,comments,reactions,ig_follows,source
L28,2026-08-09,2026-09-05,120248284964440393,W6__01__ANTI_PIGMENTATION_DEODORANT,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,1256482663222241,1036536699259074,18108041942171730,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284961720393,W5__04__UNDERARM_INGREDIENTS,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,4793039344293517,3132860496923753,17914465656446696,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284970840393,W6__05__CUSTOMER_ROUTINE_STORY,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,27134465589563159,1911320126512802,18024217043691661,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284957700393,W5__01__DRY_BRUSHING_ROUTINE,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,4657722504552164,2289193138563707,18115394272764116,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284952620393,W4__02__ROUGH_BUMP_ROUTINE,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,2128451841880866,4002241086579018,18093283556539150,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284938000393,W2__04__INNER_THIGH_COMBINATIONS,120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,2504456496703261,1765130831287915,18168673036456579,pastryskincare.co.za,251.55,4547,3329,1.365876,55.32,93,2.045,2.7,78,0.839,9,0.115,4,0.444,1,0.25,0.0128,622.25,251.55,2.47,4143,315,1094,568,391,293,262,5,0.076,0.264,0.063,0.0224,1,,13,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284944950393,W3__04__UNDERARM_ROUTINE,120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1754580525794575,1211001868769387,17954894079204205,pastryskincare.co.za,64.73,868,795,1.091824,74.57,12,1.382,5.39,12,1.0,6,0.5,0,0.0,0,,0.0,0.0,,,820,99,116,82,61,31,25,7,0.121,0.141,0.03,0.0146,1,,4,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284926410393,W1__03__BODY_PIGMENTATION_BY_AREA,120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1048949520952779,1914320649954655,18186499423401828,pastryskincare.co.za,34.63,685,627,1.092504,50.55,8,1.168,4.33,6,0.75,1,0.167,0,0.0,0,,0.0,0.0,,,600,191,529,340,239,192,191,4,0.318,0.882,0.318,0.0133,,,,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284963040393,W5__05__BIKINI_LINE_ROUTINE,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,1649439496393735,1074202545192821,17946071493057906,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284955570393,W4__05__MINI_KIT_ROUTINE,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,916650614844230,1381662176760033,17983114709878629,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
