adset_id,name,campaign_id,status,effective_status,delivery_status,delivery_substatus,learning_stage,optimization_goal,billing_event,bid_strategy,daily_budget,budget_remaining,destination_type,promoted_object,attribution_setting,start_time,end_time,created_time,updated_time,age,genders,geo_included,geo_excluded,custom_audiences,excluded_custom_audiences,detailed_targeting,advantage_audience,publisher_platforms,instagram_positions,facebook_positions,device_platforms,spend_zar_2026_03_10_to_09_05,impressions,reach,frequency,outbound_clicks,landing_page_views,add_to_cart,initiate_checkout,website_purchases,purchase_value,source
120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,ACTIVE,ACTIVE,warning,learning_exit_unsuccessfully,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""conversions"": 0, ""last_sig_edit_ts"": 1787909404, ""status"": ""FAIL""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR250.00,ZAR250.00,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-28T09:58:32+0200,NOT IN SOURCE (none),2026-08-28T09:58:32+0200,2026-08-28T11:30:21+0200,20-65,"{""0"": 2}",ZA,"ZA, CN",,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days, Pastry | Purchasers | 180d | REBUILD_20260805","interests:Cosmetics, Personal care, Natural skin care, Skin care | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,ZAR0.00,0,0,0,,,,,,,ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,ACTIVE,ACTIVE,warning,learning_exit_unsuccessfully,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""conversions"": 0, ""last_sig_edit_ts"": 1787909405, ""status"": ""FAIL""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR250.00,ZAR250.00,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-28T09:58:29+0200,NOT IN SOURCE (none),2026-08-28T09:58:29+0200,2026-08-28T11:30:22+0200,20-65,"{""0"": 2}",ZA,"ZA, CN",,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days, Pastry | Purchasers | 180d | REBUILD_20260805","interests:Shopping, Online shopping, Shopping malls | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,ZAR0.00,0,0,0,,,,,,,ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,ACTIVE,ACTIVE,warning,learning_exit_unsuccessfully,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""conversions"": 0, ""last_sig_edit_ts"": 1787909406, ""status"": ""FAIL""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR250.00,ZAR250.00,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-28T09:58:26+0200,NOT IN SOURCE (none),2026-08-28T09:58:26+0200,2026-08-28T11:30:24+0200,20-65,"{""0"": 2}",ZA,"ZA, CN",,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days, Pastry | Purchasers | 180d | REBUILD_20260805","interests:Cosmetics, Personal care, Shopping, Online shopping, Shopping malls, Natural skin care, Skin care | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,ZAR0.00,0,0,0,,,,,,,ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,ACTIVE,ACTIVE,active,in_learning_phase,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""conversions"": 16, ""status"": ""LEARNING""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR250.00,ZAR203.49,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-28T09:58:23+0200,NOT IN SOURCE (none),2026-08-28T09:58:23+0200,2026-08-28T09:58:42+0200,18-65,"{""0"": 2}",ZA,CN,,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days, Pastry | Purchasers | 180d | REBUILD_20260805","interests:Shopping, Online shopping, Shopping malls | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,"ZAR2,135.08",47040,29865,1.575088,969,853,187,68,16,"ZAR14,321.25",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,ACTIVE,ACTIVE,active,in_learning_phase,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""conversions"": 23, ""status"": ""LEARNING""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR250.00,ZAR203.14,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-28T09:58:20+0200,NOT IN SOURCE (none),2026-08-28T09:58:20+0200,2026-08-28T09:58:37+0200,18-65,"{""0"": 2}",ZA,CN,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days",Pastry | Purchasers | 180d | REBUILD_20260805,"interests:Cosmetics, Online shopping, Shopping malls, Skin care | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,"ZAR2,132.31",34519,15354,2.248209,709,607,175,73,23,"ZAR19,216.75",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,ACTIVE,ACTIVE,active,in_learning_phase,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""conversions"": 15, ""last_sig_edit_ts"": 1787903925, ""status"": ""LEARNING""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR250.00,ZAR198.34,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-28T09:58:17+0200,NOT IN SOURCE (none),2026-08-28T09:58:16+0200,2026-08-28T09:58:45+0200,18-65,"{""0"": 2}",ZA,CN,,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days, Pastry | Purchasers | 180d | REBUILD_20260805","interests:Cosmetics, Personal care, Shopping, Online shopping, Shopping malls, Natural skin care, Skin care | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,"ZAR2,137.72",42968,29279,1.467536,967,877,154,52,14,"ZAR10,079.50",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120247983150600393,PASTRY_A2_ZA_SOCIAL_SIGNALS_UNION,120247983147880393,ACTIVE,ACTIVE,active,active,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""last_sig_edit_ts"": 1786918785, ""status"": ""SUCCESS""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR350.00,ZAR232.16,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-14T07:04:16+0200,NOT IN SOURCE (none),2026-08-14T07:04:16+0200,2026-08-17T00:19:45+0200,18-65,"{""0"": 2}",ZA,CN,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days",Pastry | Purchasers | 180d | REBUILD_20260805,,"{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, messenger, whatsapp, threads)",auto,auto,auto,"ZAR7,927.87",169054,55209,3.062073,3814,3302,883,333,89,"ZAR82,312.25",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120247983149820393,PASTRY_A1_ZA_BROAD_NEW_EXCL_SIGNALS,120247983147880393,ACTIVE,ACTIVE,active,active,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""last_sig_edit_ts"": 1786918767, ""status"": ""SUCCESS""}",OFFSITE_CONVERSIONS,IMPRESSIONS,Highest volume,ZAR350.00,ZAR220.06,WEBSITE,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click,2026-08-14T07:04:13+0200,NOT IN SOURCE (none),2026-08-14T07:04:12+0200,2026-08-17T00:19:44+0200,18-65,"{""0"": 2}",ZA,CN,,"Pastry | Instagram | Engagers | 30 Days, Pastry | Facebook | Page Engagers | 30 Days, Pastry | Purchasers | 180d | REBUILD_20260805","interests:Cosmetics, Personal care, Shopping, Online shopping, Natural skin care, Skin care | behaviors:Engaged Shoppers","{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, messenger, whatsapp, threads)",auto,auto,auto,"ZAR7,916.76",148687,82279,1.807108,3754,3214,539,245,66,"ZAR55,416.25",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120239424374900393,PASTRY_DPA_Broad_Acq_3,120239423593780393,ACTIVE,ACTIVE,active,active,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""last_sig_edit_ts"": 1785959304, ""status"": ""SUCCESS""}",OFFSITE_CONVERSIONS,IMPRESSIONS,NOT IN SOURCE,ZAR300.00,ZAR0.00,UNDEFINED,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click_1d_ev,2026-03-11T13:09:37+0200,NOT IN SOURCE (none),2026-03-11T13:09:37+0200,2026-08-05T21:48:41+0200,18-65,"{""0"": 2}",ZA,CN,,Pastry | Purchasers | 180d | REBUILD_20260805,,"{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,"ZAR32,727.85",829617,144686,5.733913,19002,17053,4197,1857,527,"ZAR446,334.67",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120239424374890393,PASTRY_DPA_Broad_Acq_2,120239423593780393,ACTIVE,ACTIVE,active,active,"{""attribution_windows"": [""7d_click"", ""1d_view""], ""last_sig_edit_ts"": 1785959301, ""status"": ""SUCCESS""}",OFFSITE_CONVERSIONS,IMPRESSIONS,NOT IN SOURCE,ZAR250.00,ZAR0.00,UNDEFINED,"{""pixel_id"": ""203047029058550"", ""custom_event_type"": ""PURCHASE"", ""pixel_rule"": null}",1d_view_7d_click_1d_ev,2026-03-11T13:09:35+0200,NOT IN SOURCE (none),2026-03-11T13:09:35+0200,2026-08-05T21:48:39+0200,18-65,"{""0"": 2}",ZA,CN,,Pastry | Purchasers | 180d | REBUILD_20260805,,"{""advantage_audience"": 1}","Advantage+ placements (effective: facebook, instagram, whatsapp, threads)",auto,auto,auto,"ZAR34,293.74",778892,131462,5.924845,17681,16103,4144,1807,465,"ZAR409,321.22",ads_get_ad_entities level=adset time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
