campaign_id,name,status,effective_status,delivery,objective,budget,start_time,stop_time,spend_zar_2026_03_10_to_09_05,impressions,website_purchases,purchase_value_zar,source
120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,ACTIVE,active,OUTCOME_SALES,ABO (no campaign budget),2026-08-28T09:58:26+0200,NOT IN SOURCE (none set),0,0,0,0,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,ACTIVE,active,OUTCOME_SALES,ABO,2026-08-28T09:58:17+0200,NOT IN SOURCE (none set),6405.11,124527,53,43617.5,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120247983147880393,PASTRY_WINNERS_2AUD_APR_TO_DATE_20260814,ACTIVE,ACTIVE,active,OUTCOME_SALES,ABO,2026-08-14T07:04:13+0200,NOT IN SOURCE (none set),15844.63,317741,155,137728.5,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120239423593780393,PASTRY_DPA_Broad_Acquisition (renamed 2026-08-05 from PASTRY_Retargeting_DPA),ACTIVE,ACTIVE,active,OUTCOME_SALES,ABO; bid_strategy Highest volume; budget_remaining ZAR506.72,2026-03-11T13:09:35+0200,NOT IN SOURCE (none set),96353.63,2202498,1418,1222886.01,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120248161495070393,"PASTRY_JTD_REELS_ZA_2AUD_20260821_V6 (+V5,V4,V3,V2,base: 6 campaigns)",PAUSED,PAUSED,off,OUTCOME_SALES,ABO; ad sets ZAR600/day each,2026-08-21,NOT IN SOURCE (none set),0,0,0,0,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120247750787550393,PASTRY_TEST_Creative_Broad_20260805,PAUSED,PAUSED,off,OUTCOME_SALES,CBO ZAR288/day,2026-08-05T18:40:58+0200,NOT IN SOURCE (none set),1669.74,35483,15,12758.75,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120245549293410393,Instagram post: The Pastry Premium Body Wash has... (boost),PAUSED,PAUSED,off,LINK_CLICKS (opt: Instagram profile visits),"ZAR190/day, ended 2026-06-30",2026-06-16,2026-06-30,2654.28,59997,0,0,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120245548997690393,Instagram post: She said it best (boost),PAUSED,PAUSED,off,LINK_CLICKS (profile visits),"ZAR190/day, ended 2026-06-30",2026-06-16,2026-06-30,2657.07,62073,0,0,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120245548921010393,Instagram post: We are turning 5 (boost),PAUSED,PAUSED,off,LINK_CLICKS (profile visits),"ZAR190/day, ended 2026-06-30",2026-06-16,2026-06-30,2659.39,71339,0,0,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
120245548839430393,Instagram post: A power ingredient combo (boost),PAUSED,PAUSED,off,LINK_CLICKS (profile visits),"ZAR190/day, ended 2026-06-30",2026-06-16,2026-06-30,2658.38,113866,0,0,ads_get_ad_entities level=campaign time_range 2026-03-10..2026-09-05; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
