concept_key_ig_media_or_creative,ads_using,ad_names,spend_zar,impressions,outbound_clicks,lpv,atc,ic,purchases,purchase_value_zar,cpa_zar,roas,plays,thruplays,p100,thru_per_play,source
18100256381023152,1,DPA_Past_Purchasers,24421.55,598800,13119,11834,3123,1419,389,328215.0,62.78,13.44,0,0,0,,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18110751434162734,1,DPA_Product_Viewers,23595.29,497403,10936,9912,2719,1296,310,257993.97,76.11,10.93,0,0,0,,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
36594101976905126,1,new… Pastry Premium,20989.33,421289,9421,8265,2286,1004,258,215113.94,81.35,10.25,83760,7678,1681,0.092,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18114435070781788,1,DPA_Cart_Abandoners,18802.56,305885,6722,6230,2097,977,250,220793.37,75.21,11.74,0,0,0,,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18086327558629012,1,The perfect gift for yourself ad,16542.33,440955,5908,5153,1306,635,138,111081.25,119.87,6.71,388315,30484,10576,0.079,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17929594761095845,2,Instagram post: The Pastry Premium Body ; The Pastry Premium Body,14177.21,304780,3956,3540,928,384,113,100878.25,125.46,7.12,266728,15334,2881,0.057,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18088093730346995,1,Salicylic Acid + Vitamin C,12638.23,205257,2674,2294,841,283,64,52885.75,197.47,4.18,183679,16100,5889,0.088,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
1483521409561432,1,Not a single lie ad,7502.36,178970,2479,802,397,190,49,43058.0,153.11,5.74,136945,7827,2839,0.057,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18327470974255215,2,Instagram post: She said it best ✨ Light; hand cream,6004.76,108337,635,1301,328,145,47,36851.5,127.76,6.14,59210,8395,2706,0.142,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17892363399551598,2,Anti-Pigment Hand Cream; PASTRY_A1_ZA_BROAD_NEW_EXCL_SIGNALS__ANT,5661.69,76026,2208,1893,335,157,46,28874.75,123.08,5.1,71727,8948,2630,0.125,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18124521952640426,1,5 years of Pastry Skincar,4036.23,62338,1771,1649,927,355,108,92783.5,37.37,22.99,32710,5836,5846,0.178,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18328649092285943,2,PASTRY_A2_ZA_SOCIAL_SIGNALS_UNION__DARK_; PASTRY_TEST_W5_24_DARK-UNDERARM_INGREDIE,3531.06,84438,1496,1276,366,131,33,30974.25,107.0,8.77,79635,8847,5366,0.111,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18152857339474502,1,Instagram post: We are turning 5 this ye,2659.39,71339,0,203,0,0,0,0.0,,0.0,66807,5998,998,0.09,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18098153824905713,1,Instagram post: A power ingredient combo,2658.38,113866,1,386,0,0,0,0.0,,0.0,108350,11135,6255,0.103,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18080572940228591,1,A trip for stretch marks,2521.84,38912,954,674,224,59,22,26332.75,114.63,10.44,30351,4502,1323,0.148,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18104764099783085,1,It’s the long weekend,2189.27,40702,869,724,196,83,19,19056.5,115.22,8.7,14441,3699,2925,0.256,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
