date,ad_spend_zar,impressions,outbound_clicks,landing_page_views,add_to_cart,initiate_checkout,attributed_purchases,attributed_value_zar,atc_per_lpv,shopify_orders_containing_hand_cream,stock_state,source
2026-08-15,120.31,1324,55,54,19,6,2,690.0,0.352,8,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-16,145.54,1801,64,55,8,5,2,690.0,0.145,12,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-17,100.52,1359,33,33,5,4,2,1035.0,0.152,8,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-18,65.27,816,25,21,6,2,1,690.0,0.286,6,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-19,229.25,3284,93,93,25,4,1,821.75,0.269,6,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-20,277.77,3531,95,76,20,10,5,2405.0,0.263,19,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-21,320.38,4044,96,85,12,7,2,690.0,0.141,11,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-22,254.28,3577,98,91,20,10,2,1370.0,0.22,12,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-23,254.04,3676,99,81,22,11,1,345.0,0.272,8,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-24,165.13,2385,70,63,6,8,1,345.0,0.095,8,in stock (sales recorded),Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
