date_bucket,BROWSER,SERVER,note,source
2026-08-06,7700,5394,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-07,9488,6679,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-08,9373,6558,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-09,10973,7588,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-10,10992,7470,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-11,6660,4605,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-12,5117,3514,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-13,6700,4785,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-14,8780,5720,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-15,10365,6413,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-16,11007,5953,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-17,9141,5767,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-18,8239,5089,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
