date_local_pacific_bucket,PageView,ViewContent,AddToCart,InitiateCheckout,AddPaymentInfo,Purchase,NewCustomerPurchase,ReturningCustomerPurchase,Lead,Contact,Search,source
2026-08-06,7240,3146,526,248,72,29,22,7,0,0,59,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-07,8698,3922,783,365,114,30,22,8,2,0,72,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-08,8797,4110,670,277,78,20,18,2,2,0,89,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-09,10298,4560,791,285,87,23,21,2,4,9,89,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-10,10331,4584,733,314,84,26,17,9,6,0,106,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-11,6315,2508,577,250,62,24,17,7,1,2,51,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-12,4745,1801,394,192,78,26,16,10,7,5,67,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-13,6256,2745,508,245,74,26,16,10,0,10,61,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-14,7455,3287,895,404,136,36,25,11,10,5,245,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-15,8420,3804,1128,539,187,37,27,9,0,0,230,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-16,8765,3690,982,494,176,41,33,8,4,2,219,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
