period,since,until,publisher_platform,platform_position,spend_zar,impressions,reach_nonadditive,outbound_clicks,outbound_ctr_pct,landing_page_views,add_to_cart,initiate_checkout,website_purchases,purchase_value_zar,cpa_zar,roas,purchase_per_lpv,video_plays,thruplays,p100,thruplay_per_play,source
L28,2026-08-09,2026-09-05,facebook,facebook_notification,4.05,56,48,0,0.0,0,0,0,0,0,,,,0,0,0,,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,facebook_profile_feed,38.26,1553,1166,14,0.901,12,2,0,0,0,,,0.0,629,40,20,0.064,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,facebook_reels,4621.5,90846,27095,2030,2.235,1702,436,168,31,22257.29,149.08,4.82,0.0182,75717,11301,5046,0.149,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,facebook_reels_overlay,130.36,7192,2908,86,1.196,65,33,12,4,2955.75,32.59,22.67,0.0615,13,4,2,0.308,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,facebook_stories,599.86,7527,3971,243,3.228,194,48,32,12,11124.75,49.99,18.55,0.0619,5824,789,396,0.135,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,feed,15434.05,415282,72557,9742,2.346,8857,1573,765,187,161220.5,82.54,10.45,0.0211,172736,17424,8633,0.101,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,instream_video,310.94,4069,1782,130,3.195,95,15,8,2,1998.0,155.47,6.43,0.0211,3684,1369,264,0.372,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,facebook,search,89.13,1817,1593,63,3.467,52,13,3,0,0,,,0.0,646,26,8,0.04,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,instagram,feed,13946.88,213330,49699,4958,2.324,4859,1522,661,183,162206.36,76.21,11.63,0.0377,68783,9852,5134,0.143,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,instagram,instagram_explore_grid_home,106.81,11090,7192,44,0.397,41,31,14,4,2842.5,26.7,26.61,0.0976,967,126,60,0.13,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,instagram,instagram_reels,4123.25,66936,31086,1699,2.538,1443,388,178,43,31629.94,95.89,7.67,0.0298,44406,5656,2159,0.127,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,instagram,instagram_search,3.82,147,146,1,0.68,0,1,0,0,0,,,,0,0,0,,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,instagram,instagram_stories,6433.54,116741,29801,3540,3.032,3314,768,335,90,71187.67,71.48,11.07,0.0272,30821,3326,1686,0.108,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
L28,2026-08-09,2026-09-05,threads,threads_feed,87.06,3446,1867,107,3.105,77,2,3,0,0,,,0.0,760,139,64,0.183,"ads_get_ad_entities level=ad_account breakdowns=[publisher_platform,platform_position]; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)"
