creative_id,asset_type,video_id,page_post_id,instagram_media_id,permalink,publication_time,duration_s,concept,verified_product,caption_excerpt,cta,evidence_coverage,organic_results,source
1006687488994923,NOT IN SOURCE,NOT IN SOURCE,NOT IN SOURCE,18327470974255215,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Anti-Pigment Hand Cream SPF30 testimonial (post variant),Anti-Pigment Hand Cream SPF30 75ml,"She said it best ✨ Lightweight, nourishing, packed with Niacinamide + SPF 30 protection and a lovely fragrance 🖐🏽 Our Anti-Pigment Hand Cream is a must-have.  #",NOT IN SOURCE,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1011306704837234,VIDEO,1672595620672869,116534118031737_1672595620672869,18109298293942058,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Birthday celebration teaser,Range,Looks like there’s a Pastry Skincare Birthday Celebration happening soon - we’ve spotted some hints 🤭👀💚 Can you guess what we’re announcing next?   #fyp #pastry,SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1014884021106011,VIDEO,1921319731776573,116534118031737_1921319731776573,18104764099783085,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,"POV: long weekend, family and your Pastry",Range,POV: It’s the long weekend and you’re making sure your family knows you don’t play around with your Pastry Skincare 🤭 Tag someone below to let them know how str,SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1016327727870773,VIDEO,997715983092345,116534118031737_997715983092345,18124521952640426,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,5 years of Pastry Skincare (is it cake) original,Range,"🎂 5 years of Pastry Skincare and we’re still keeping you guessing… 👀  Is it lotion? 🤔 Is it cake? 🎂  As we celebrate this incredible milestone, we want to thank",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1019293427658617,VIDEO,1050103224432053,116534118031737_1034012329622196,18068169923707846,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Deodorant 1-month review (before/after),Anti Pigmentation Deodorant,"1-month review ✨ After consistent use of the Pastry Skincare Anti-Pigmentation Deodorant, formulated with Niacinamide and Salicylic Acid, she’s seeing visibly b",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1036641345651931,VIDEO,1356857919885627,116534118031737_1034007622956000,18409947541159460,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Six-week customer journey,Range,"6 weeks of consistency and my skin is thanking me. ✨   Fewer breakouts, smoother skin and my pigmentation is slowly fading. Trust the process because healthy sk",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1042744574782765,VIDEO,1362739972731938,116534118031737_1034012112955551,18025301141894839,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,NOT IN SOURCE (caption only),NOT VERIFIED,"Here’s how to do an at home bikini line treatment to reduce the appearance of pigmentation, ingrowns and blemishes. ✨💚 This 3 step exfoliating routine helps bri",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1048949520952779,VIDEO,1914320649954655,116534118031737_1033977042959058,18186499423401828,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Body pigmentation by area,Range,"Body pigmentation doesn’t look the same everywhere and neither should your routine. ✨ Here’s what to use for underarms, inner thighs, stretch marks, knees, elbo",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1052941484078554,VIDEO,1689150382402402,116534118031737_1689150382402402,18080572940228591,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,A trip for stretch marks (May post),Stretch marks routine,,NOT IN SOURCE,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1062475416522925,VIDEO,1516950890188090,116534118031737_1053775834312512,17943382473449613,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,NOT IN SOURCE (caption only),NOT VERIFIED,Build a simple daily hand-care routine with Pastry Skincare. Shop online at pastryskincare.co.za. DHL Express international delivery is available. Delivery fees,SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1069211098994928,VIDEO,1354177509656817,116534118031737_1034009536289142,17979766230098990,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,NOT IN SOURCE (caption only),NOT VERIFIED,"Dry, rough hands? This is your sign to upgrade your hand care routine ✨The Pastry Skincare Hyaluronic Acid Hand Cream is formulated with Hyaluronic Acid, Shea B",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1078726171766785,VIDEO,2555843638218482,116534118031737_1033977636292332,18362479630212526,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Inner-thigh pigmentation routine (Glycolic wash + Niacinamide lotion),Glycolic Acid Body Wash + Niacinamide Body Lotion,Say goodbye to stubborn pigmentation on your inner thighs when you add these products to the Glycolic Acid Body Wash and Niacinamide Body Lotion combo 💫💚 Shop P,SHOP_NOW,paid metrics (ad level) + static preview frame,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1105133075290115,VIDEO,1376924207957298,116534118031737_1033971109626318,18348472762247625,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Underarm pigmentation and sweat hack,Anti Pigmentation Deodorant 50ml,Dark underarms but you sweat a lot? There’s a way to target both with this hack with the Anti-pigmentation deodorant ✨  🛍️ Shop online or in store @beautyontapp,SHOP_NOW,paid metrics (ad level) + static preview frame,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1256482663222241,VIDEO,1036536699259074,116534118031737_1053776134312482,18108041942171730,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,NOT IN SOURCE (caption only),NOT VERIFIED,Explore Pastry Skincare Anti-Pigmentation Deodorant. Shop online at pastryskincare.co.za. DHL Express international delivery is available. Delivery fees are cal,SHOP_NOW,paid metrics (ad level) + static preview frame,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1297965305546009,VIDEO,1250369430507064,116534118031737_1034009292955833,18087857618645491,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,NOT IN SOURCE (caption only),NOT VERIFIED,"Picking at those bumps won’t make them go away. Focus on ingredients that help smooth and support the skin instead — likeSalicylic acid, Niacinamide, and target",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1381536034157626,VIDEO,1503052235196929,116534118031737_1034010426289053,18114829018731601,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,NOT IN SOURCE (caption only),NOT VERIFIED,"She said it best ✨ Lightweight, nourishing, packed with Niacinamide + SPF 30 protection and a lovely fragrance 🖐🏽 Our Anti-Pigment Hand Cream is a must-have.  #",SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1389786629919253,VIDEO,1937680153565157,116534118031737_1034007999622629,17948069391039064,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Premium body wash FAQ with esthetician,Mandelic Acid Body Wash,Your questions about our new premium body wash answered by an esthetician ✨ from who it’s for and the skin concerns it targets. Here’s everything you need to kn,SHOP_NOW,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
1437229525106020,VIDEO,1043316661542279,116534118031737_1043316661542279,17929594761095845,NOT VERIFIED (instagram.com/facebook.com blocked by egress policy; IG account not exposed to connector),NOT IN SOURCE (only ad/creative creation dates available),NOT IN SOURCE,Premium Body Wash landed in store @beautyontapp first impressions,Mandelic Acid Body Wash (Pastry Premium),The Pastry Premium Body Wash  has officially landed in store @beautyontapp ✨ so we had to go instore and get some first impressions. From the Blackcurrant cordi,VIEW_INSTAGRAM_PROFILE,paid metrics (ad level) only; video NOT WATCHED,NOT ACCESSIBLE (no Instagram professional account exposed to connector),ads_get_creatives; captured 2026-09-06 10:26-10:45 UTC
