type,name,developer,id,source
app,Analyzify (GA4 & Ads Tracking),Analyzify | Solverhood,gid://shopify/App/3921359,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Simprosys Google Shopping Feed,Simprosys InfoMedia,gid://shopify/App/1558137,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,DHL Express Commerce,DHL Express,gid://shopify/App/3816751,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Judge.me Reviews,Judge.me,gid://shopify/App/683015,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Bob Go smart shipping solution,Bob Group,gid://shopify/App/1056912,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Xero Bridge by Parex,Parex,gid://shopify/App/2817229,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,GetSale Discounts,506,gid://shopify/App/3162851,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Toki Loyalty,Toki,gid://shopify/App/17807474689,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Stitch Express Checkout,Stitch Express,gid://shopify/App/205291454465,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Messaging,Shopify,gid://shopify/App/2755583,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Shopify Claude Connector App,Shopify,gid://shopify/App/341262598145,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,Shopify ChatGPT MCP App,Shopify,gid://shopify/App/340764327937,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
app,milestone-awards-vetting,Shopify,gid://shopify/App/406902996993,Shopify Admin GraphQL appInstallations; captured 2026-09-06 10:55 UTC
sales channel (publication),Online Store,Shopify,gid://shopify/Publication/148627292401,Shopify Admin GraphQL publications; captured 2026-09-06 10:55 UTC
sales channel (publication),Point of Sale,Shopify,gid://shopify/Publication/148627390705,Shopify Admin GraphQL publications; captured 2026-09-06 10:55 UTC
sales channel (publication),Facebook & Instagram,Shopify,gid://shopify/Publication/170135290097,Shopify Admin GraphQL publications; captured 2026-09-06 10:55 UTC
sales channel (publication),TikTok,Shopify,gid://shopify/Publication/170289594609,Shopify Admin GraphQL publications; captured 2026-09-06 10:55 UTC
