date,orders,net_sales_zar,source
2026-06-08,25,18371.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-09,23,19843.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-10,21,17454.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-11,20,16564.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-12,16,14200.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-13,17,16002.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-14,14,12486.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-15,35,29059.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-16,39,36265.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-17,19,16917.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-06-18,29,21897.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
