period,since,until,order_referrer_source,order_referrer_name,orders,net_sales_zar,source
L28,2026-08-09,2026-09-05,search,google,295,233555,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,social,instagram,157,135637.5,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,instagram,147,115937.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,social,facebook,135,109080,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,(direct/none),127,98308.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,pastryskincare,73,61153,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,shopify,43,40514.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,search,bing,14,11278,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,stitch,8,5575.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,android,7,5249.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,payfast,2,1602.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,,payflex,1,622.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L28,2026-08-09,2026-09-05,social,twitter,1,995,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,search,google,348,271609,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,(direct/none),162,126264.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,instagram,158,137109,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,social,instagram,146,125255.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,pastryskincare,77,65573.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,social,facebook,77,64747,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,shopify,56,48976.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,search,bing,19,14044.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,payflex,7,6356,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,stitch,4,2882.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,android,4,2605.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,payfast,3,2730.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,social,tiktok,2,1492.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,dbankcloud,1,622.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,,msn,1,3881.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
P28,2026-07-12,2026-08-08,social,twitter,1,535,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,search,google,76,65274.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,social,facebook,49,40242.5,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,social,instagram,47,37934,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,(direct/none),41,31479.5,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,instagram,41,30951,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,pastryskincare,16,11865,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,shopify,15,11872.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,search,bing,6,5958.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,stitch,3,2169,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,android,1,631.75,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,social,twitter,1,995,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
L7,2026-08-30,2026-09-05,,payfast,1,622.25,"Shopify run-analytics-query FROM sales GROUP BY order_referrer_source, order_referrer_name (Shopify last-touch referrer); captured 2026-09-06 10:55 UTC"
