period,product_title,orders_containing,net_sales_zar,source
L28 2026-08-09..2026-09-05,Glycolic Acid & Niacinamide Bundle,293,189306.5,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Pastry Glow Body Brightening Bundle,132,132867,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Niacinamide Body Lotion,144,53350,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Anti-Pigment Hand Cream SPF30,138,50715,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Brightening Body Oil - Vanilla Nut,117,48510,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Mandelic Acid Body Wash,62,39020,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Salicylic Acid Body Wash,106,38820,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,BHA Overnight Body Balm,91,35805,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Glycolic Acid Body Wash,89,32975,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Anti Pigmentation Deodorant,106,29500,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Body Acne Busting Combo,35,28761.25,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Glycolic Acid & Niacinamide Mini kit,73,28290,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,The Body Glow Edit,15,15984,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Niacinamide Body Butter,51,12065,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Evening Pigment Corrector,39,11800,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Niacinamide SPF50 Sunscreen,25,11625,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Hyaluronic Acid Body Lotion,32,10150,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Vitamin C Body Cream,31,9880,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Niacinamide Body Mist,17,7315,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Salicylic Acid & Niacinamide Mini Kit,18,7265,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Pigmentation Correction Serum – 5% Niacinamide,29,7250,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Hyaluronic Acid Hand Cream,33,7175,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Lactic Acid Body Wash,9,3720,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Brightening Serum – 10% Vitamin C,9,2880,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,BHA Body Gel Serum,12,2520,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
L28 2026-08-09..2026-09-05,Barrier Repair Serum – 1.5% Ceramide,6,1960,Shopify run-analytics-query FROM sales GROUP BY product_title; captured 2026-09-06 10:55 UTC
