period,referrer_source,referrer_name,sessions,sessions_that_completed_checkout,checkout_rate,source
L28 2026-08-09..2026-09-05,social,instagram,11277,307,0.0272,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,direct,,10841,208,0.0192,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,search,google,10278,309,0.0301,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,social,facebook,9811,134,0.0137,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,search,bing,397,17,0.0428,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,social,tiktok,132,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,email,gmail,56,4,0.0714,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,shopify,48,8,0.1667,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,threads,22,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,search,yahoo!,17,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,stitch,15,8,0.5333,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,chatgpt,13,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,judge,13,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,payfast,8,2,0.25,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,dbankcloud,6,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,search,ecosia,5,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,search,duckduckgo,5,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,payflex,4,1,0.25,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,petalsearch,4,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,social,twitter,4,1,0.25,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,brave,3,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,social,reddit,3,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,,2,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,perplexity,1,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
L28 2026-08-09..2026-09-05,unknown,nextgeeker,1,0,0.0,"Shopify run-analytics-query FROM sessions GROUP BY referrer_source, referrer_name; captured 2026-09-06 10:55 UTC"
