shopify_product_id,title,variants,price_zar,total_inventory,available_for_sale,inventory_policy,status,online_store_url,source
8818191630577,Anti-Pigment Hand Cream SPF30,46989386907889 75ml / Rose Champagne,345,0,false,DENY,ACTIVE,https://pastryskincare.co.za/products/anti-pigment-spf30-hand-cream,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8772643487985,Salicylic Acid Body Wash,6 variants,-10,88,true,,ACTIVE,https://pastryskincare.co.za/products/salicylic-acid-body-wash,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8825020055793,Vitamin C Body Cream,2 variants,285-295,34,true,,ACTIVE,https://pastryskincare.co.za/products/vitamin-c-body-cream,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
9322850550001,Glycolic Acid Body Wash,4 variants,330-340,83,true,,ACTIVE,https://pastryskincare.co.za/products/glycolic-acid-body-wash,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8772641751281,Niacinamide Body Lotion,2 variants,325-335,54,true,,ACTIVE,https://pastryskincare.co.za/products/niacinamide-body-lotion,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8825004228849,BHA Overnight Body Balm,2 variants,385,20,true,,ACTIVE,https://pastryskincare.co.za/products/bha-overnight-body-balm,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8772636180721,Anti Pigmentation Deodorant,2 variants,250,33,true,,ACTIVE,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
9598972199153,Mandelic Acid Body Wash,Blackcurrant Cordial 0 / Fragrance Free 26,545-585,26,partial,,ACTIVE,https://pastryskincare.co.za/products/mandelic-acid-body-wash,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8772640768241,Hyaluronic Acid Hand Cream,coconut 0 / Grapefruit 7,205,7,partial,,ACTIVE,https://pastryskincare.co.za/products/hyaluronic-acid-hand-cream,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
8772640964849,Lactic Acid Body Wash,2 variants,310,19,true,,ACTIVE,https://pastryskincare.co.za/products/lactic-acid-body-wash,"Shopify Admin GraphQL productByHandle (status, onlineStoreUrl, totalInventory, variants availableForSale/inventoryQuantity); captured 2026-09-06 10:55 UTC"
